querytext,processedquerytext,date,numberofcomposedanswers,java_related,likertvalue,postsids
How to add an element to an array,add element array,2019-08-14 19:55:09.965,5,duplicated,5,7514938 12949821 16437891 11638153 29172210 
Java load file from classpath,java load file classpath,2019-08-14 11:53:04.267,5,,5,11310805 12024698 35728116 4360001 22836004 
can we add multiple base packages to spring component scanning,add multiple base packages spring component scanning,2019-08-14 12:16:20.289,5,,5,5269527 22718139 38222640 8250801 40779960 
how to reverse a list,reverse list,2019-08-14 12:40:00.549,5,,5,38800084 18073639 45068373 18084742 14988032 
convert string to integer,convert string integer,2019-08-20 17:16:57.765,5,duplicated,5,19103110 19103118 9321599 19103098 43177248 
convert string to integer,convert string integer,2019-08-20 17:16:57.765,5,duplicated,5,19103110 19103118 9321599 19103098 43177248 
How to reverse an array,reverse array,2019-08-20 17:38:20.832,5,duplicated,5,2137766 41053380 8975579 34172032 32032464 
Create a class,,2019-08-20 22:37:55.64,5,duplicated,5,4816925 24612173 4321398 25412991 15942017 
how to convert timezone,convert timezone,2019-08-20 22:01:03.303,10,duplicated,5,32112029 17431433 6567963 24749842 23534100 12636331 30633373 29054122 37328723 
Print to console,,2019-08-21 04:13:21.788,5,duplicated,5,14234537 15335051 10941793 10941792 31054610 
Get first element of array,get first element array,2019-08-21 03:42:21.888,5,duplicated,5,39860831 26057239 20361913 2503420 2503368 
how to remove an element from array,remove element array,2019-08-21 04:13:51.695,1,duplicated,5,11727522 
how to remove element from list,remove element list,2019-08-21 06:07:07.048,5,duplicated,5,13565951 21795443 17123408 6835620 26242246 
How to split array,split array,2019-08-21 06:34:51.015,5,duplicated,5,12969483 14785527 49729327 8162114 46038561 
How to create a function,create function,2019-08-21 06:47:08.286,1,duplicated,5,8710595 
how do I create a function,create function,2019-08-21 06:56:10.923,1,duplicated,5,8710595 
OutOfMemory,,2019-08-17 03:57:43.84,5,not_java,5,17051396 43866264 13018318 33185265 8703126 
OutOfMemory,,2019-08-17 03:57:43.84,5,not_java,5,17051396 43866264 13018318 33185265 8703126 
pandas sort array,,2019-08-18 23:47:56.247,5,not_java,5,44065904 40823973 44067550 19776557 44065894 
Loop,,2019-08-19 13:29:34.221,5,not_java,5,36994101 37304888 41865340 6347879 11555519 
oom,,2019-08-20 07:05:59.72,5,not_java,5,4146106 14354008 4146030 37099108 41613244 
printstream,,2019-08-21 05:51:08.845,5,not_java,5,507546 1760673 8080689 10670634 35763587 
dockerfile for nodejs,,2019-09-08 19:07:54.914,10,not_java,5,35266364 25367884 45984993 46465705 42393001 41804479 36639369 27225366 6201152 27388789 
How can I use python libraries?,use python libraries,2019-08-14 18:30:46.925,10,not_java,5,1164847 1166065 11507833 1164841 1164837 48267024 6797027 13262969 22695678 15493791 
