rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1854,45,45,LOGICAL,Remove this useless assignment to local variable "invalidJsonObject".,null,
java:S106,19,19,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,21,21,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,22,22,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,24,24,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,27,27,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,35,35,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,37,37,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,40,40,MODULAR,Replace this use of System.out by a logger.,null,
java:S1481,45,45,CLEAR,Remove this unused "invalidJsonObject" local variable.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.err by a logger.,null,
