rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,13,13,DISTINCT,Define a constant instead of duplicating this literal "Alice" 3 times.,null,
java:S4143,16,16,CLEAR,Verify this is the key that was intended; it was already set before.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,22,22,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,26,26,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,38,38,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,45,45,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,52,52,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,54,54,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,58,58,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,60,60,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,69,69,MODULAR,Replace this use of System.out by a logger.,null,
