rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,126,126,DISTINCT,Define a constant instead of duplicating this literal "Alice" 4 times.,null,
java:S1192,30,30,DISTINCT,Define a constant instead of duplicating this literal ", Value = " 3 times.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,58,58,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,60,60,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,73,73,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,84,84,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,95,95,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,105,105,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,115,115,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,125,125,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,131,131,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,135,135,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,139,139,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,143,143,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,148,148,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,151,151,MODULAR,Replace this use of System.out by a logger.,null,
