rule key,start line,end line,severity,message,type
java:S1604,797,797,CLEAR,Make this anonymous inner class a lambda (sonar.java.source not set. Assuming 8 or greater.),null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S2293,73,73,CLEAR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),null,
java:S2293,112,112,CLEAR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),null,
java:S1700,15,15,IDENTIFIABLE,Rename field "MYROBOT",null,
java:S127,626,626,CLEAR,Refactor the code in order to not assign to this loop counter from within the loop body.,null,
java:S127,647,647,CLEAR,Refactor the code in order to not assign to this loop counter from within the loop body.,null,
java:S1192,704,704,DISTINCT,Define a constant instead of duplicating this literal "CLOSE" 5 times.,null,
java:S116,15,15,IDENTIFIABLE,Rename this field "MYROBOT" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,16,16,IDENTIFIABLE,Rename this field "SCREEN" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,17,17,IDENTIFIABLE,Rename this field "SCREEN_X" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,18,18,IDENTIFIABLE,Rename this field "SCREEN_Y" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,19,19,IDENTIFIABLE,Rename this field "WINDOW_X" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,20,20,IDENTIFIABLE,Rename this field "WINDOW_Y" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,21,21,IDENTIFIABLE,Rename this field "TYPE_DELAY" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,22,22,IDENTIFIABLE,Rename this field "MOUSE_DELAY" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,23,23,IDENTIFIABLE,Rename this field "SKILL" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,24,24,IDENTIFIABLE,Rename this field "X" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,24,24,IDENTIFIABLE,Rename this field "Y" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,27,27,IDENTIFIABLE,Rename this field "RED" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,27,27,IDENTIFIABLE,Rename this field "GREEN" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,27,27,IDENTIFIABLE,Rename this field "BLUE" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,28,28,IDENTIFIABLE,Rename this field "PIX_CLOSE_ACTIVE_OFF_MOUSE" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,29,29,IDENTIFIABLE,Rename this field "PIX_CLOSE_ACTIVE_ON_MOUSE" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S116,30,30,IDENTIFIABLE,Rename this field "KEYMAP" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S1659,24,24,FORMATTED,Declare "Y" on a separate line.,null,
java:S1659,25,25,FORMATTED,Declare "lastY" on a separate line.,null,
java:S1659,26,26,FORMATTED,Declare "savedY" on a separate line.,null,
java:S1659,27,27,FORMATTED,Declare "GREEN" and all following declarations on a separate line.,null,
java:S1197,16,16,FORMATTED,Move the array designators [][] to the type.,null,
java:S125,60,60,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S3776,123,123,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,null,
java:S106,127,127,MODULAR,Replace this use of System.out by a logger.,null,
java:S2140,129,129,LOGICAL,Use "java.util.Random.nextInt()" instead.,null,
java:S2140,129,129,LOGICAL,Use "java.util.Random.nextInt()" instead.,null,
java:S2140,130,130,LOGICAL,Use "java.util.Random.nextInt()" instead.,null,
java:S2140,132,132,LOGICAL,Use "java.util.Random.nextInt()" instead.,null,
java:S131,151,151,CLEAR,Add a default case to this switch.,null,
java:S1479,151,151,FOCUSED,Reduce the number of non-empty switch cases from 32 to at most 30.,null,
java:S106,285,285,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,292,292,MODULAR,Replace this use of System.out by a logger.,null,
java:S131,305,305,CLEAR,Add a default case to this switch.,null,
java:S1479,305,305,FOCUSED,Reduce the number of non-empty switch cases from 32 to at most 30.,null,
java:S106,439,439,MODULAR,Replace this use of System.out by a logger.,null,
java:S2142,510,510,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S108,510,510,CLEAR,Remove this block of code, fill it in, or add a comment explaining why it is empty.,null,
java:S3776,563,563,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,null,
java:S106,601,601,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,610,610,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,617,617,MODULAR,Replace this use of System.out by a logger.,null,
java:S3776,655,655,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.,null,
java:S1854,656,656,LOGICAL,Remove this useless assignment to local variable "initX".,null,
java:S1301,659,659,CLEAR,Replace this "switch" statement by "if" statements to increase readability.,null,
java:S131,659,659,CLEAR,Add a default case to this switch.,null,
java:S6541,123,123,FOCUSED,A "Brain Method" was detected. Refactor it to reduce at least one of the following metrics: LOC from 162 to 64, Complexity from 39 to 14, Nesting Level from 4 to 2, Number of Variables from 8 to 6.,null,
