rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,29,29,DISTINCT,Define a constant instead of duplicating this literal "Result: " 4 times.,null,
java:S106,7,7,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,8,8,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,9,9,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,10,10,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,11,11,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,12,12,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,13,13,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,21,21,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,29,29,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,33,33,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,37,37,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.out by a logger.,null,
