rule key,start line,end line,severity,message,type
java:S117,71,71,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,72,72,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,73,73,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,74,74,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,75,75,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,76,76,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,77,77,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,78,78,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,79,79,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,80,80,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,81,81,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S1104,9,9,MODULAR,Make adjacencies a static final constant or non-public and provide accessors if needed.,null,
java:S1104,10,10,MODULAR,Make minDistance a static final constant or non-public and provide accessors if needed.,null,
java:S1104,11,11,MODULAR,Make previous a static final constant or non-public and provide accessors if needed.,null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S2293,35,35,CLEAR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),null,
java:S2293,60,60,CLEAR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),null,
java:S1210,14,14,COMPLETE,Override "equals(Object obj)" to comply with the contract of the "compareTo(T o)" method.,null,
java:S106,98,98,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,100,100,MODULAR,Replace this use of System.out by a logger.,null,
