rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,13,13,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,17,17,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,22,22,MODULAR,Replace this use of System.out by a logger.,null,
java:S2142,49,49,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,36,36,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,47,47,MODULAR,Replace this use of System.out by a logger.,null,
java:S2142,77,77,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,71,71,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,75,75,MODULAR,Replace this use of System.out by a logger.,null,
java:S1128,4,4,CLEAR,Remove this unused import 'java.util.ArrayList'.,null,
java:S1128,5,5,CLEAR,Remove this unused import 'java.util.List'.,null,
