rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1640,48,48,EFFICIENT,Convert this Map to an EnumMap.,null,
java:S1640,96,96,EFFICIENT,Convert this Map to an EnumMap.,null,
java:S106,64,64,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,72,72,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,78,78,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,86,86,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,116,116,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,118,118,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,121,121,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,128,128,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,135,135,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,139,139,MODULAR,Replace this use of System.out by a logger.,null,
