rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,16,16,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,21,21,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.out by a logger.,null,
java:S2142,40,40,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,35,35,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,41,41,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,55,55,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,60,60,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,61,61,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,66,66,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,70,70,MODULAR,Replace this use of System.out by a logger.,null,
