rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,19,19,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,21,21,MODULAR,Replace this use of System.out by a logger.,null,
java:S125,29,29,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,52,52,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,67,67,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,76,76,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,78,78,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,80,80,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,116,116,MODULAR,Replace this use of System.out by a logger.,null,
java:S125,89,89,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S106,120,120,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,125,125,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,128,128,MODULAR,Replace this use of System.out by a logger.,null,
