rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S3776,28,28,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,106,106,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,108,108,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,110,110,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,112,112,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,114,114,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,116,116,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,118,118,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,120,120,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,125,125,MODULAR,Replace this use of System.err by a logger.,null,
