rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,26,26,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,32,32,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,33,33,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,50,50,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,57,57,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,64,64,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,68,68,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,72,72,MODULAR,Replace this use of System.err by a logger.,null,
