rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,30,30,DISTINCT,Define a constant instead of duplicating this literal " bytes" 4 times.,null,
java:S106,12,12,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,16,16,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,29,29,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,45,45,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,57,57,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,58,58,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,59,59,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,68,68,MODULAR,Replace this use of System.out by a logger.,null,
