rule key,start line,end line,severity,message,type
java:S4973,118,118,LOGICAL,Strings and Boxed types should be compared using "equals()".,null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S2293,42,42,CLEAR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),null,
java:S1192,49,49,DISTINCT,Define a constant instead of duplicating this literal "Exception " 3 times.,null,
java:S1149,42,42,CONVENTIONAL,Replace the synchronized class "Vector" by an unsynchronized one such as "ArrayList" or "LinkedList".,null,
java:S100,13,13,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S4925,17,17,CLEAR,Remove this "Class.forName()", it is useless. (sonar.java.source not set. Assuming 6 or greater.),null,
java:S1659,40,40,FORMATTED,Declare "v2" on a separate line.,null,
java:S6437,27,27,TRUSTWORTHY,Revoke and change this password, as it is compromised.,null,
java:S106,32,32,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,59,59,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,70,70,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,82,82,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,92,92,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,93,93,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,94,94,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,103,103,MODULAR,Replace this use of System.out by a logger.,null,
java:S1854,110,110,LOGICAL,Remove this useless assignment to local variable "str".,null,
java:S106,116,116,MODULAR,Replace this use of System.out by a logger.,null,
