rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,10,10,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,17,17,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,23,23,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,29,29,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.err by a logger.,null,
java:S125,32,32,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S106,37,37,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.err by a logger.,null,
java:S2093,25,25,CONVENTIONAL,Change this "try" to a try-with-resources. (sonar.java.source not set. Assuming 7 or greater.),null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,47,47,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,55,55,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,58,58,MODULAR,Replace this use of System.out by a logger.,null,
