rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,8,8,DISTINCT,Define a constant instead of duplicating this literal "\\p{L}+" 3 times.,null,
java:S1192,7,7,DISTINCT,Define a constant instead of duplicating this literal "UTF-8" 3 times.,null,
java:S106,7,7,MODULAR,Replace this use of System.out by a logger.,null,
java:S4719,7,7,CONVENTIONAL,Replace Charset.forName() call with StandardCharsets.UTF_8,null,
java:S106,10,10,MODULAR,Replace this use of System.out by a logger.,null,
java:S4719,10,10,CONVENTIONAL,Replace Charset.forName() call with StandardCharsets.UTF_8,null,
java:S106,13,13,MODULAR,Replace this use of System.out by a logger.,null,
java:S4719,13,13,CONVENTIONAL,Replace Charset.forName() call with StandardCharsets.UTF_8,null,
java:S106,16,16,MODULAR,Replace this use of System.out by a logger.,null,
java:S5856,16,16,LOGICAL,Fix the syntax errors inside this regex.,null,
