rule key,start line,end line,severity,message,type
java:S1604,41,41,CLEAR,Make this anonymous inner class a lambda (sonar.java.source not set. Assuming 8 or greater.),null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1854,53,53,LOGICAL,Remove this useless assignment to local variable "url".,null,
java:S1854,66,66,LOGICAL,Remove this useless assignment to local variable "result".,null,
java:S1186,23,23,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,26,26,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1168,20,20,CLEAR,Return an empty array instead of null.,null,
java:S4830,23,23,TRUSTWORTHY,Enable server certificate validation on this SSL/TLS connection.,null,
java:S4830,26,26,TRUSTWORTHY,Enable server certificate validation on this SSL/TLS connection.,null,
java:S4423,32,32,TRUSTWORTHY,Change this code to use a stronger protocol.,null,
java:S5527,43,43,COMPLETE,Enable server hostname verification on this SSL/TLS connection.,null,
java:S1481,53,53,CLEAR,Remove this unused "url" local variable.,null,
java:S125,59,59,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S1481,66,66,CLEAR,Remove this unused "result" local variable.,null,
java:S106,71,71,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,75,75,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,78,78,MODULAR,Replace this use of System.out by a logger.,null,
