rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S6437,33,33,TRUSTWORTHY,Revoke and change this password, as it is compromised.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,62,62,MODULAR,Replace this use of System.out by a logger.,null,
java:S6437,76,76,TRUSTWORTHY,Revoke and change this password, as it is compromised.,null,
java:S106,77,77,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,94,94,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,96,96,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,107,107,MODULAR,Replace this use of System.out by a logger.,null,
