rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S3776,10,10,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.,null,
java:S106,17,17,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.err by a logger.,null,
java:S2142,70,70,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,35,35,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,36,36,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,52,52,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,55,55,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,64,64,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,69,69,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,71,71,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,78,78,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,86,86,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,90,90,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,95,95,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,100,100,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,103,103,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,106,106,MODULAR,Replace this use of System.err by a logger.,null,
