rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,4,4,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,5,5,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,6,6,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,7,7,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,8,8,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,9,9,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,10,10,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,11,11,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,14,14,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,16,16,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,17,17,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,19,19,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,21,21,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,24,24,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,25,25,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,26,26,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,29,29,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,33,33,MODULAR,Replace this use of System.out by a logger.,null,
