rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1118,4,4,CLEAR,Hide this public constructor.,null,
java:S106,9,9,MODULAR,Replace this use of System.out by a logger.,null,
java:S1854,17,17,LOGICAL,Remove this useless assignment to local variable "obj3".,null,
java:S1854,16,16,LOGICAL,Remove this useless assignment to local variable "obj2".,null,
java:S1854,15,15,LOGICAL,Remove this useless assignment to local variable "obj1".,null,
java:S2440,15,15,LOGICAL,Remove this instantiation of "MyClass".,null,
java:S1481,15,15,CLEAR,Remove this unused "obj1" local variable.,null,
java:S2440,16,16,LOGICAL,Remove this instantiation of "MyClass".,null,
java:S1481,16,16,CLEAR,Remove this unused "obj2" local variable.,null,
java:S2440,17,17,LOGICAL,Remove this instantiation of "MyClass".,null,
java:S1481,17,17,CLEAR,Remove this unused "obj3" local variable.,null,
