rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,22,22,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,26,26,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,30,30,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,38,38,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,55,55,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,59,59,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,66,66,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,73,73,MODULAR,Replace this use of System.out by a logger.,null,
