rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,12,12,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,18,18,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,19,19,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,25,25,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,33,33,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,43,43,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,45,45,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,50,50,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
