rule key,start line,end line,severity,message,type
java:S1066,164,164,CLEAR,Merge this if statement with the enclosing one.,null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S135,121,121,FOCUSED,Reduce the total number of break and continue statements in this loop to use at most one.,null,
java:S1192,200,200,DISTINCT,Define a constant instead of duplicating this literal "Created directory: " 3 times.,null,
java:S106,82,82,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,84,84,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,90,90,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,109,109,MODULAR,Replace this use of System.err by a logger.,null,
java:S3776,120,120,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,null,
java:S106,140,140,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,150,150,MODULAR,Replace this use of System.err by a logger.,null,
java:S3457,160,160,LOGICAL,%n should be used in place of \n to produce the platform-specific line separator.,null,
java:S106,160,160,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,167,167,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,169,169,MODULAR,Replace this use of System.err by a logger.,null,
java:S2142,275,275,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,200,200,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,207,207,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,212,212,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,219,219,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,225,225,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,234,234,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,235,235,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,242,242,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,247,247,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,253,253,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,258,258,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,263,263,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,268,268,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,273,273,MODULAR,Replace this use of System.out by a logger.,null,
java:S1068,15,15,CLEAR,Remove this unused "directoryToWatch" private field.,null,
