rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,15,15,DISTINCT,Define a constant instead of duplicating this literal "  Tags: " 3 times.,null,
java:S1192,13,13,DISTINCT,Define a constant instead of duplicating this literal "  Count: " 3 times.,null,
java:S1192,14,14,DISTINCT,Define a constant instead of duplicating this literal "  Enabled: " 3 times.,null,
java:S1192,12,12,DISTINCT,Define a constant instead of duplicating this literal "  Value: " 3 times.,null,
java:S106,11,11,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,12,12,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,13,13,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,14,14,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,23,23,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,24,24,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,25,25,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,26,26,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,27,27,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,30,30,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,38,38,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,40,40,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,41,41,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,45,45,MODULAR,Replace this use of System.err by a logger.,null,
