rule key,start line,end line,severity,message,type
java:S117,20,20,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S117,27,27,IDENTIFIABLE,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S1104,6,6,MODULAR,Make N a static final constant or non-public and provide accessors if needed.,null,
java:S1104,7,7,MODULAR,Make integer a static final constant or non-public and provide accessors if needed.,null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1444,6,6,MODULAR,Make this "public static N" field final,null,
java:S1444,7,7,MODULAR,Make this "public static integer" field final,null,
java:S3008,6,6,IDENTIFIABLE,Rename this field "N" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S2386,7,7,CONVENTIONAL,Make this member "protected".,null,
java:S106,14,14,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,17,17,MODULAR,Replace this use of System.out by a logger.,null,
java:S100,20,20,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S2234,29,29,CLEAR,Parameters to move have the same names but not the same order as the method arguments.,null,
java:S2234,33,33,CLEAR,Parameters to move have the same names but not the same order as the method arguments.,null,
java:S100,39,39,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S106,40,40,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,41,41,MODULAR,Replace this use of System.out by a logger.,null,
java:S1659,43,43,FORMATTED,Declare "d2" and all following declarations on a separate line.,null,
java:S108,46,46,CLEAR,Remove this block of code, fill it in, or add a comment explaining why it is empty.,null,
java:S108,50,50,CLEAR,Remove this block of code, fill it in, or add a comment explaining why it is empty.,null,
java:S108,54,54,CLEAR,Remove this block of code, fill it in, or add a comment explaining why it is empty.,null,
java:S106,56,56,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,58,58,MODULAR,Replace this use of System.out by a logger.,null,
