rule_key,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
java:S106,1192,210,362,422,390
java:S1220,327,327,327,327,327
java:S1854,22,116,69,37,90
java:S1481,28,111,63,39,88
java:S125,31,23,4,4,10
java:S2293,0,42,14,0,1
java:S117,9,42,1,1,0
java:S1192,24,9,6,5,6
java:S1068,4,11,11,13,10
java:S1118,2,21,6,5,14
java:S2142,13,3,6,9,9
java:S3740,2,26,1,0,0
java:S1161,0,10,6,8,5
java:S1075,5,10,7,4,3
java:S1604,8,12,4,2,0
java:S1659,0,19,3,4,0
java:S3252,7,5,3,6,5
java:S6437,5,4,5,5,4
java:S1104,4,14,1,1,2
java:S112,8,5,2,3,4
java:S1602,0,5,4,4,8
java:S116,0,19,0,0,0
java:S1197,0,16,1,1,0
java:S4719,2,13,0,1,0
java:S1135,0,13,0,3,0
java:S3012,7,1,4,3,0
java:S6353,3,10,0,0,1
java:S1874,0,5,5,2,2
java:S1128,8,2,0,2,2
java:S1186,1,9,0,0,3
java:S4042,2,5,5,0,1
java:S108,0,13,0,0,0
java:S5542,2,4,1,2,2
java:S899,1,5,5,0,0
java:S2234,2,3,2,2,2
java:S3011,0,4,3,1,3
java:S3776,5,4,0,1,0
java:S1149,1,3,4,1,0
java:S1444,1,4,1,1,2
java:S5738,1,5,1,1,1
java:S2094,2,2,2,2,1
java:S1612,1,1,0,2,4
java:S1144,2,4,0,0,2
java:S1450,1,1,2,3,1
java:S115,0,8,0,0,0
java:S1210,3,3,0,1,1
java:S1488,0,4,3,0,1
java:S2129,0,7,0,0,0
java:S1172,0,4,2,0,1
java:S2140,1,5,0,0,1
java:S4925,1,4,2,0,0
java:S6213,2,2,1,0,1
java:S6905,0,0,3,1,2
java:S1130,1,2,1,1,0
java:S3457,2,1,0,1,1
java:S4276,1,0,3,1,0
java:S1066,1,3,1,0,0
java:S2093,2,2,1,0,0
java:S128,2,0,0,3,0
java:S6548,1,1,0,0,3
java:S2326,3,0,0,1,1
java:S1124,0,5,0,0,0
java:S100,0,4,0,0,0
java:S1643,0,4,0,0,0
java:S131,0,4,0,0,0
java:S1905,1,1,1,0,1
java:S2133,1,0,2,1,0
java:S1948,1,0,1,1,1
java:S2440,0,1,3,0,0
java:S5361,2,1,1,0,0
java:S135,1,1,2,0,0
java:S1611,2,2,0,0,0
java:S101,0,3,0,0,0
java:S1871,0,0,1,0,2
java:S3923,0,0,2,1,0
java:S1301,0,3,0,0,0
java:S1141,1,1,0,1,0
java:S1126,2,0,0,0,1
java:S1640,2,1,0,0,0
java:S2209,3,0,0,0,0
java:S2147,0,1,2,0,0
java:S1116,0,3,0,0,0
java:S127,0,2,0,0,1
java:S2184,0,3,0,0,0
java:S7158,1,1,0,1,0
java:S1479,0,2,0,0,0
java:S3077,1,0,1,0,0
java:S2696,1,1,0,0,0
java:S1700,0,1,0,0,1
java:S6397,0,0,0,0,2
java:S2864,0,0,0,1,1
java:S6912,1,0,0,0,1
java:S5527,0,1,0,0,1
java:S1168,0,2,0,0,0
java:S2387,0,0,0,1,1
java:S2201,0,2,0,0,0
java:S1125,0,1,1,0,0
java:S4830,0,2,0,0,0
java:S3008,1,1,0,0,0
java:S4143,1,1,0,0,0
java:S1165,1,0,0,0,0
java:S2479,0,1,0,0,0
java:S1858,0,1,0,0,0
java:S2130,0,1,0,0,0
java:S5993,0,1,0,0,0
java:S1656,0,1,0,0,0
java:S2386,0,1,0,0,0
java:S4977,0,1,0,0,0
java:S4423,0,1,0,0,0
java:S3864,0,1,0,0,0
java:S1751,0,1,0,0,0
java:S1201,0,1,0,0,0
java:S5843,0,0,0,0,1
java:S2674,0,1,0,0,0
java:S3010,0,1,0,0,0
java:S1117,0,0,1,0,0
java:S6035,0,0,0,0,1
java:S3626,0,1,0,0,0
java:S2677,0,1,0,0,0
java:S3599,0,1,0,0,0
java:S1171,0,1,0,0,0
java:S3358,0,0,0,0,1
java:S5998,0,0,0,1,0
java:S3973,0,1,0,0,0
java:S6541,0,1,0,0,0
java:S2115,1,0,0,0,0
java:S4973,0,1,0,0,0
java:S1181,0,0,1,0,0
java:S5856,0,1,0,0,0
java:S5842,0,0,0,0,1
java:S2272,0,1,0,0,0
