snippet_id,stackoverflow,chatgpt,chatgpt2025,deepseek,Gemini
2,1,1,0,0,0
3,3,0,0,0,0
4,2,0,0,0,0
5,0,9,2,2,4
6,0,0,3,2,1
8,0,1,0,0,6
9,2,0,0,1,0
10,0,1,0,0,0
11,5,0,2,3,5
12,2,1,0,1,2
13,1,2,6,10,2
14,0,0,0,0,0
15,2,4,0,0,0
16,1,0,1,1,1
17,0,0,0,0,0
18,2,0,0,0,0
19,2,0,0,0,0
20,0,0,0,2,0
23,2,0,2,2,4
25,2,0,0,0,1
26,6,1,0,0,1
27,1,1,0,0,1
28,3,0,1,0,1
29,4,0,2,3,1
30,1,4,0,1,1
31,0,0,0,0,0
32,0,0,0,1,0
33,4,2,1,0,0
34,5,0,0,0,0
35,2,0,1,0,0
36,2,0,0,0,2
37,0,0,0,0,0
38,0,1,2,2,4
39,5,1,0,7,0
40,0,0,0,0,0
41,1,0,0,1,2
42,0,0,0,0,0
43,0,0,1,1,0
44,0,0,0,0,0
45,3,0,0,0,0
46,6,9,0,0,3
47,2,0,0,0,0
48,4,1,1,2,2
49,0,0,0,0,0
50,0,1,0,1,0
51,0,0,1,6,2
52,0,0,2,1,0
53,2,2,1,0,0
55,1,0,0,2,0
56,2,0,1,1,0
57,2,0,0,4,0
58,0,2,0,0,0
59,3,1,0,0,0
60,0,3,0,0,0
61,2,0,0,2,0
62,0,0,0,0,0
63,3,0,1,1,1
64,2,1,0,0,0
65,4,0,0,0,0
66,8,1,0,0,0
67,4,0,0,0,0
68,1,0,2,2,0
69,0,0,0,2,0
70,7,0,0,0,0
71,5,0,0,0,0
72,2,0,0,0,0
74,1,0,3,0,0
75,10,2,0,2,0
76,1,0,0,0,1
79,0,0,0,0,0
80,2,0,0,0,0
81,4,0,0,0,0
82,0,0,0,0,0
83,1,0,0,0,0
84,0,0,0,0,2
85,4,0,0,1,0
86,0,0,0,0,0
87,0,0,0,0,4
88,13,3,2,2,2
89,0,0,0,0,0
90,0,2,0,2,0
91,1,0,0,3,0
92,2,0,0,0,0
93,1,0,1,0,1
94,3,1,0,0,3
95,1,0,2,0,0
96,3,0,0,0,0
97,4,0,1,0,2
98,0,0,0,0,0
99,0,0,0,0,0
100,0,2,0,4,0
101,2,0,0,0,0
103,1,0,0,0,0
104,0,0,0,0,2
105,1,0,0,0,0
106,0,0,0,0,0
108,0,2,3,1,0
109,0,0,0,0,1
110,0,0,0,2,0
111,4,0,0,0,0
112,1,0,0,0,0
113,2,2,2,2,4
114,4,3,0,0,0
115,1,0,0,0,1
118,3,0,0,0,2
119,2,0,0,0,0
120,2,0,0,4,0
121,5,0,0,0,0
122,2,0,0,0,0
123,1,0,0,2,0
124,8,0,0,0,1
125,1,0,0,0,0
126,2,0,6,0,0
127,0,0,0,0,0
128,3,0,0,0,0
129,1,1,1,1,1
130,0,0,0,0,0
131,0,0,2,2,2
133,46,0,0,2,1
134,0,0,0,0,0
135,1,0,0,0,0
136,1,0,0,0,0
137,2,1,0,0,0
138,0,0,1,1,0
139,1,1,0,0,1
140,0,0,0,0,0
141,3,0,1,0,0
142,0,1,0,0,0
143,2,0,0,0,0
144,0,0,0,10,2
145,0,0,0,0,0
146,2,2,1,3,0
147,1,5,0,0,0
148,2,5,0,5,4
149,14,1,0,1,0
150,13,1,0,0,5
151,2,0,2,2,0
152,0,0,0,0,0
153,3,0,0,0,0
154,2,2,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,2,0,0,1,1
158,2,5,4,2,0
159,2,3,2,6,0
160,4,0,0,1,0
161,0,0,0,0,0
162,2,1,1,2,1
163,2,4,2,10,0
164,2,0,0,0,0
165,0,0,0,0,0
167,0,0,2,0,0
168,2,1,2,0,0
169,0,0,0,0,2
170,3,0,0,0,0
171,0,0,0,2,0
172,0,1,2,2,0
173,1,6,0,0,2
174,2,0,0,0,0
175,2,0,0,0,0
176,2,1,1,0,1
177,0,0,0,0,0
178,2,0,0,3,0
179,8,4,0,0,0
180,2,1,0,0,0
181,0,1,0,1,0
182,1,2,0,0,0
183,3,3,1,0,1
185,0,0,0,0,2
186,0,0,3,0,3
187,0,0,0,0,0
188,2,0,0,1,0
189,0,0,0,0,0
190,0,0,7,10,1
191,0,6,2,2,0
192,1,0,2,1,0
193,0,0,0,0,0
194,3,3,1,1,2
195,2,0,2,2,0
196,0,2,2,0,0
197,8,3,2,2,0
198,2,0,0,0,2
199,0,1,0,0,0
200,0,0,0,0,0
201,1,1,1,2,2
202,3,2,0,0,0
203,1,1,0,0,0
204,1,0,0,0,0
205,1,2,0,0,1
206,2,0,0,0,0
207,0,0,4,0,0
208,2,0,0,0,0
209,0,0,0,0,0
210,1,0,0,0,1
212,2,1,1,2,0
213,0,0,0,0,0
214,0,0,0,0,0
215,4,0,1,0,2
216,0,0,0,0,0
217,5,4,0,0,2
218,1,3,0,0,1
219,1,0,0,0,0
220,1,1,0,2,3
221,1,0,0,0,4
222,1,0,0,1,0
223,0,0,0,0,0
224,2,1,0,2,0
225,2,0,0,2,0
226,0,4,2,4,1
227,5,0,0,0,0
228,1,2,0,0,0
229,1,2,0,0,0
231,3,0,0,2,1
232,1,5,0,0,1
233,0,10,0,1,0
235,0,0,0,0,0
236,4,0,1,0,0
237,0,0,0,0,0
238,0,0,0,1,0
240,1,0,0,0,2
241,1,0,0,4,0
242,1,0,2,0,1
243,0,2,0,0,0
244,0,0,0,0,0
245,4,0,0,0,0
246,0,0,0,0,0
247,4,0,0,0,2
248,2,0,0,2,2
249,2,0,0,1,2
250,3,1,0,1,1
251,2,6,0,0,1
252,3,2,0,2,0
253,1,0,0,1,0
254,1,0,0,2,1
256,2,0,0,0,0
257,0,0,0,1,1
258,2,2,0,0,0
259,3,0,0,0,0
260,5,1,0,0,0
261,0,2,0,0,0
262,1,1,0,0,0
263,1,2,2,2,0
264,0,2,0,0,0
265,0,0,1,1,2
266,1,0,0,0,2
267,3,0,0,0,0
268,7,0,0,0,0
269,1,2,2,2,2
271,1,1,1,1,1
272,1,0,0,0,0
273,1,2,2,2,0
274,0,0,2,2,4
276,5,0,0,1,0
277,5,0,0,3,0
278,2,0,2,0,0
279,1,0,0,1,2
281,2,0,0,2,0
283,0,0,4,0,0
284,8,0,0,2,0
285,1,0,0,0,1
286,1,0,0,0,1
287,2,5,0,0,0
288,0,0,0,2,3
290,2,0,0,0,0
291,2,0,0,0,0
293,3,0,0,0,0
294,3,0,0,1,1
295,13,0,3,0,3
296,0,0,0,0,0
297,0,0,0,2,2
298,0,1,0,2,0
299,3,2,2,2,1
300,0,0,1,0,0
301,0,0,0,0,0
302,1,0,0,0,2
303,0,0,0,0,1
304,2,0,0,0,2
305,0,0,0,0,0
306,2,0,1,2,0
307,6,0,0,0,0
308,2,0,0,0,0
309,0,2,2,5,8
310,0,0,0,0,0
311,1,0,0,0,0
312,2,0,0,0,1
313,3,1,0,0,0
314,3,0,0,2,0
316,3,0,0,0,0
317,0,0,0,0,0
318,4,0,0,0,0
319,0,0,2,0,1
320,3,0,0,0,1
321,2,1,0,0,2
323,0,0,0,0,0
324,1,0,0,0,0
325,6,1,1,1,3
326,2,0,0,0,0
327,1,0,0,0,0
328,0,0,1,2,0
329,3,0,1,1,2
330,0,1,0,0,1
331,2,0,0,0,0
333,0,0,0,0,1
334,0,0,0,0,1
335,0,3,0,2,0
336,1,0,1,1,0
337,3,0,0,0,0
338,4,0,1,0,1
339,1,0,0,0,0
340,6,0,0,0,0
341,5,0,2,2,0
342,1,0,0,2,1
343,2,0,0,0,0
344,0,0,0,4,0
345,0,0,0,0,0
346,1,0,0,2,0
347,2,2,2,1,2
348,0,0,0,0,0
349,3,0,0,0,0
350,2,4,2,2,2
351,3,0,0,4,0
352,2,0,0,0,1
353,1,0,0,0,0
354,0,0,0,0,1
355,0,0,0,0,0
356,3,0,2,0,0
357,2,2,0,2,0
