snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,0,4,5,1,0
3,34,7,0,3,0
4,5,0,0,1,2
5,2,0,9,0,1
6,2,6,0,1,3
8,67,4,0,1,1
9,0,0,4,1,1
10,1,0,2,0,1
11,3,0,3,3,4
12,4,0,5,2,3
13,0,0,3,0,7
14,0,1,3,0,0
15,1,0,0,3,1
16,2,0,1,0,1
17,8,0,0,2,2
18,0,1,3,0,0
19,1,0,3,0,2
20,0,0,3,0,0
23,5,0,0,0,1
25,4,0,0,1,0
26,3,7,5,0,5
27,4,0,3,0,6
28,1,0,4,0,1
29,1,14,3,1,2
30,2,0,1,1,2
31,0,0,0,0,0
32,1,1,1,0,1
33,1,0,0,0,0
34,0,0,0,0,0
35,0,0,0,1,2
36,2,2,0,1,1
37,3,0,0,1,0
38,2,0,0,0,1
39,2,4,0,0,3
40,2,3,4,2,6
41,0,0,1,1,2
42,1,0,5,0,0
43,1,0,1,0,1
44,0,0,4,0,1
45,0,2,2,1,1
46,0,5,0,0,0
47,0,0,0,0,0
48,3,0,0,2,1
49,4,2,0,0,3
50,0,0,0,1,5
51,6,0,0,0,6
52,0,0,0,0,0
53,4,1,7,5,11
55,0,0,0,0,0
56,0,5,0,1,1
57,1,0,2,7,4
58,8,0,0,0,0
59,0,1,0,0,0
60,3,0,0,3,3
61,5,0,0,0,1
62,3,0,0,0,2
63,4,2,4,1,0
64,16,0,3,3,5
65,0,0,4,0,5
66,5,0,3,3,2
67,0,0,5,0,3
68,0,0,0,0,0
69,2,2,4,6,4
70,0,3,0,0,0
71,9,2,0,0,2
72,0,0,0,0,1
74,0,3,0,1,1
75,1,0,1,1,1
76,30,0,2,2,3
79,0,2,0,1,1
80,14,3,5,2,2
81,4,0,4,1,4
82,7,2,2,2,0
83,0,0,0,0,0
84,9,0,0,0,0
85,6,2,0,4,3
86,1,2,0,0,0
87,3,0,1,2,2
88,11,0,0,1,10
89,1,2,0,0,0
90,0,0,0,0,0
91,4,0,0,0,2
92,10,0,0,0,0
93,0,2,0,0,0
94,60,0,0,0,1
95,8,0,4,0,2
96,0,0,0,0,0
97,4,18,4,1,0
98,0,0,4,3,3
99,0,0,0,0,0
100,2,0,7,0,2
101,4,4,2,3,0
103,8,0,1,1,1
104,3,0,3,0,3
105,4,2,1,3,1
106,2,0,5,4,3
108,2,9,5,11,4
109,3,0,0,0,0
110,0,0,0,0,0
111,0,4,0,0,0
112,0,0,0,0,0
113,2,0,0,1,1
114,21,0,10,7,6
115,17,0,0,5,6
118,56,0,3,5,5
119,2,1,2,1,1
120,4,0,0,0,4
121,2,6,0,2,2
122,1,0,0,0,0
123,2,0,0,0,0
124,0,0,0,1,4
125,16,0,0,0,0
126,17,0,1,4,0
127,3,3,0,4,3
128,3,1,0,1,3
129,9,0,0,5,4
130,0,0,0,0,0
131,0,0,0,0,0
133,16,1,5,4,11
134,3,0,3,2,0
135,8,0,4,0,0
136,1,0,1,0,1
137,4,1,5,1,3
138,0,0,3,2,1
139,3,3,8,4,5
140,0,0,0,1,4
141,2,2,0,1,0
142,0,2,2,0,0
143,3,0,0,2,1
144,3,0,2,2,5
145,5,0,1,0,3
146,5,0,4,1,2
147,6,0,1,2,4
148,3,0,0,2,1
149,0,0,0,0,0
150,8,3,7,0,3
151,4,0,5,0,1
152,1,1,4,1,1
153,0,0,0,0,1
154,9,0,1,4,1
155,0,2,0,0,0
156,0,1,2,0,1
157,3,0,2,1,0
158,3,0,0,1,5
159,6,0,0,0,0
160,6,0,0,0,3
161,1,0,0,0,1
162,4,0,5,4,4
163,2,0,0,0,3
164,0,1,3,0,2
165,5,0,0,0,0
167,4,0,0,0,0
168,0,0,2,0,0
169,27,0,0,3,2
170,0,0,0,0,0
171,3,0,0,2,4
172,8,0,3,0,3
173,72,3,1,14,8
174,0,2,0,0,0
175,10,0,0,1,5
176,10,0,9,4,8
177,10,0,4,3,4
178,4,0,7,2,10
179,15,0,0,5,3
180,10,3,3,4,3
181,3,0,0,0,0
182,3,0,0,0,0
183,0,1,0,0,0
185,29,0,8,10,10
186,0,4,0,0,1
187,7,0,0,2,0
188,9,0,3,1,2
189,1,0,3,2,1
190,0,0,3,0,2
191,8,0,0,0,0
192,19,0,7,2,0
193,5,8,6,0,2
194,6,0,0,5,3
195,7,0,0,0,0
196,0,1,0,0,0
197,3,6,0,0,0
198,21,0,0,2,3
199,4,0,4,0,3
200,0,0,0,0,0
201,5,0,2,1,0
202,3,0,0,0,5
203,2,0,0,0,1
204,2,0,0,0,0
205,2,2,0,5,0
206,0,0,0,0,0
207,4,0,0,4,1
208,1,0,0,1,0
209,1,2,0,1,0
210,6,0,0,0,3
212,1,0,0,0,0
213,8,0,0,0,0
214,0,0,5,0,0
215,8,3,6,4,5
216,6,2,4,1,1
217,51,0,0,2,6
218,12,1,2,7,4
219,5,0,0,4,0
220,4,0,0,3,0
221,8,0,3,1,2
222,2,3,0,1,2
223,8,0,0,6,7
224,2,0,0,0,0
225,14,8,7,6,8
226,5,0,0,0,0
227,2,3,0,1,3
228,1,1,0,3,6
229,1,0,0,0,0
231,1,0,3,0,0
232,5,0,0,0,0
233,1,0,4,1,2
