snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,26,14,22,11,11
3,94,11,24,14,7
4,26,24,6,13,16
5,7,5,16,5,5
6,26,22,12,41,26
8,178,50,30,37,43
9,16,18,9,12,14
10,26,4,27,22,6
11,52,33,16,30,43
12,117,27,87,71,83
13,23,75,10,24,22
14,14,14,13,17,16
15,19,7,11,16,16
16,33,12,9,9,11
17,26,8,10,8,11
18,12,7,15,17,11
19,17,6,9,9,12
20,9,10,9,9,8
23,17,13,17,16,14
25,31,8,8,10,16
26,23,89,21,17,25
27,16,20,10,9,10
28,50,13,25,28,54
29,26,94,16,22,28
30,47,24,11,21,28
31,18,9,10,17,10
32,42,22,21,17,31
33,45,90,21,25,35
34,11,7,7,7,8
35,24,14,23,9,22
36,39,35,31,19,25
37,25,11,11,11,11
38,26,14,13,15,16
39,24,16,22,14,18
40,42,21,37,38,54
41,22,22,15,13,24
42,36,13,19,29,21
43,27,12,11,9,11
44,7,12,12,10,10
45,9,7,12,9,9
46,15,19,17,11,6
47,8,6,10,7,7
48,9,12,11,19,6
49,11,11,7,7,14
50,13,10,11,16,16
51,21,10,14,17,19
52,21,13,15,24,10
53,36,30,23,20,24
55,8,29,10,8,7
56,11,17,10,23,23
57,15,27,12,64,15
58,33,7,21,16,25
59,13,12,12,12,12
60,43,16,28,17,22
61,9,9,9,9,6
62,30,8,10,20,18
63,17,14,11,20,14
64,44,15,10,10,12
65,39,10,24,29,21
66,18,8,10,11,11
67,12,11,10,11,11
68,10,14,8,7,7
69,32,17,18,21,19
70,7,9,7,7,7
71,30,9,9,9,9
72,12,7,7,7,7
74,36,43,53,66,108
75,15,10,7,11,10
76,25,19,11,10,7
79,17,11,16,10,13
80,52,30,19,21,21
81,13,20,13,9,15
82,16,9,11,11,12
83,14,11,13,9,11
84,46,17,16,11,7
85,23,50,17,13,12
86,10,8,10,10,10
87,41,25,20,10,7
88,17,54,17,15,15
89,23,20,7,9,6
90,8,7,6,7,6
91,59,11,14,12,19
92,21,17,17,16,7
93,26,24,16,13,15
94,83,47,33,24,24
95,22,23,22,26,23
96,8,8,8,8,8
97,51,52,15,14,22
98,11,10,10,10,13
99,6,12,5,5,5
100,18,14,15,9,10
101,17,30,11,11,9
103,28,8,15,11,11
104,40,8,10,9,12
105,22,12,13,12,13
106,37,19,31,29,21
108,33,19,44,124,40
109,28,13,8,20,8
110,10,5,8,6,5
111,15,26,12,10,10
112,10,6,9,9,9
113,10,5,6,5,9
114,81,11,31,35,32
115,40,9,10,17,15
118,81,9,11,18,17
119,18,11,7,5,5
120,15,6,7,7,7
121,11,54,8,10,11
122,12,16,11,8,8
123,19,11,7,7,6
124,25,12,15,16,20
125,5,7,5,5,5
126,45,10,22,12,13
127,52,23,27,25,33
128,25,8,15,18,18
129,21,12,15,13,20
130,19,11,21,13,14
131,5,9,7,6,6
133,32,755,14,16,10
134,22,10,13,17,9
135,29,14,10,6,6
136,5,8,5,7,5
137,37,37,19,29,26
138,7,19,11,8,8
139,32,16,22,11,12
140,20,20,21,21,30
141,19,25,14,18,9
142,26,27,40,20,56
143,16,13,16,11,14
144,6,6,11,10,15
145,14,20,6,7,10
146,76,13,41,31,53
147,49,39,13,25,23
148,7,6,6,10,6
149,40,69,32,40,45
150,80,85,68,61,54
151,39,12,13,6,6
152,6,3,16,4,4
153,29,15,15,21,17
154,25,8,13,16,12
155,50,15,20,31,28
156,8,7,10,7,7
157,24,10,18,20,21
158,39,13,49,14,36
159,16,6,6,6,8
160,28,19,30,9,14
161,9,26,10,9,9
162,28,29,17,17,16
163,22,5,7,6,9
164,23,12,15,11,12
165,21,9,19,9,9
167,15,10,16,11,10
168,7,5,7,6,7
169,50,6,12,16,14
170,17,16,20,16,16
171,15,9,16,7,13
172,20,12,12,10,21
173,102,39,43,53,39
174,15,13,12,8,11
175,36,6,11,11,12
176,20,18,12,19,39
177,53,24,12,13,16
178,37,21,27,25,27
179,31,10,30,17,15
180,55,24,22,19,20
181,14,5,6,7,7
182,13,10,6,7,7
183,11,8,8,9,7
185,59,19,26,31,36
186,24,24,17,15,16
187,28,18,15,29,16
188,18,9,8,8,8
189,18,7,10,15,10
190,5,7,7,8,9
191,8,7,7,5,5
192,102,37,52,69,34
193,56,96,26,23,13
194,36,12,15,18,15
195,20,6,8,5,8
196,27,13,23,24,27
197,15,8,6,6,6
198,17,6,16,14,13
199,18,10,11,10,9
200,23,16,11,21,10
201,21,3,6,10,10
202,31,9,25,17,30
203,21,9,18,11,11
204,9,15,10,7,7
205,26,18,25,22,28
206,16,24,16,15,15
207,19,19,15,15,18
208,29,29,16,20,13
209,16,11,12,14,11
210,42,16,37,16,11
212,17,19,13,13,12
213,34,10,19,21,19
214,16,7,19,15,16
215,55,30,20,20,22
216,30,19,15,18,12
217,63,22,74,32,40
218,97,24,53,44,31
219,23,13,10,10,10
220,7,8,11,11,7
221,16,18,10,14,12
222,12,15,32,8,18
223,54,13,16,37,32
224,14,20,20,11,10
225,43,11,16,29,23
226,34,16,24,13,14
227,10,7,10,7,11
228,15,7,6,15,17
229,22,10,9,16,8
231,7,9,7,7,6
232,33,6,12,9,5
233,13,7,14,12,9
235,48,21,19,19,24
236,16,60,9,20,15
237,5,8,10,6,6
238,19,8,20,9,16
240,100,23,28,13,19
241,15,12,14,13,15
242,81,37,26,33,40
243,14,10,16,14,8
244,12,20,13,34,21
245,23,53,15,17,27
246,33,11,17,16,21
247,22,27,16,19,11
248,5,6,9,9,6
249,12,6,7,7,8
250,66,49,25,22,29
251,40,12,19,32,33
252,20,19,11,10,7
253,50,65,31,24,54
254,57,29,26,19,23
256,8,6,14,6,6
257,14,15,4,10,14
258,23,22,10,12,14
259,37,12,23,23,28
260,17,24,25,16,16
261,9,14,13,8,8
262,25,18,22,17,24
263,37,10,10,9,7
264,12,9,16,40,80
265,24,8,19,13,18
266,23,20,30,35,8
267,36,26,26,23,22
268,24,15,15,15,16
269,51,15,9,9,9
271,23,11,10,11,8
272,16,7,15,15,16
273,22,29,8,9,9
274,34,10,29,17,20
276,15,8,12,11,14
277,27,12,11,15,25
278,14,8,10,8,10
279,15,9,23,9,12
281,12,53,8,6,5
283,32,8,11,15,5
284,28,50,30,28,23
285,28,13,23,28,30
286,48,21,20,20,20
287,17,23,11,13,13
288,65,11,12,14,10
290,26,30,41,25,26
291,10,8,10,10,10
293,7,9,7,7,7
294,38,11,11,19,19
295,99,82,45,50,58
296,12,15,16,11,16
297,41,20,35,44,20
298,11,16,8,20,25
299,5,6,5,5,6
