snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,31,23,33,17,14
3,137,21,32,21,10
4,35,32,10,15,20
5,11,5,30,6,9
6,36,35,14,52,34
8,280,65,36,46,54
9,18,25,22,15,20
10,38,7,36,28,10
11,66,40,26,39,57
12,141,33,113,82,102
13,27,86,27,26,36
14,16,20,19,19,17
15,22,9,16,23,19
16,37,14,11,10,13
17,40,13,15,13,15
18,14,13,20,18,13
19,21,9,15,10,16
20,14,12,15,10,10
23,28,18,23,23,19
25,41,10,9,14,18
26,31,121,32,19,37
27,27,28,18,11,21
28,57,17,33,30,64
29,31,141,23,26,34
30,61,36,17,28,39
31,23,16,15,22,13
32,51,31,26,22,40
33,53,107,24,29,39
34,13,11,9,8,13
35,29,16,26,14,30
36,54,45,43,24,33
37,40,13,18,15,16
38,31,17,16,19,20
39,28,29,26,15,25
40,54,32,47,49,72
41,25,25,20,16,36
42,44,17,28,34,23
43,30,17,13,10,13
44,12,17,19,12,13
45,10,13,17,13,13
46,18,28,21,13,7
47,8,8,12,7,8
48,18,17,12,26,9
49,20,20,8,8,20
50,15,11,13,22,28
51,33,13,16,22,31
52,25,14,17,30,12
53,46,35,41,35,48
55,12,36,14,10,11
56,13,32,12,27,29
57,21,42,21,89,25
58,51,9,25,20,30
59,19,20,14,18,19
60,54,22,32,24,30
61,18,9,13,13,11
62,43,11,11,25,25
63,26,22,20,25,20
64,75,21,16,16,22
65,43,16,33,34,35
66,29,14,16,17,16
67,15,16,22,14,19
68,12,19,8,8,9
69,39,26,26,34,27
70,9,15,8,8,9
71,53,17,10,12,14
72,14,10,8,7,10
74,44,61,64,81,135
75,19,14,13,15,15
76,64,26,16,14,12
79,21,16,20,13,18
80,72,41,30,26,25
81,21,24,22,12,23
82,33,16,15,16,15
83,16,16,15,15,16
84,67,22,16,11,7
85,37,69,20,22,20
86,13,14,13,12,15
87,48,29,26,14,10
88,34,60,19,18,30
89,29,27,9,12,8
90,9,11,7,12,11
91,76,18,21,21,26
92,38,24,23,20,10
93,33,32,20,16,16
94,158,71,42,30,30
95,37,30,31,33,32
96,10,11,10,9,8
97,65,78,23,21,25
98,15,13,22,18,20
99,6,18,7,10,10
100,25,18,31,12,20
101,26,46,16,17,15
103,44,9,19,14,15
104,51,14,17,11,18
105,35,18,18,19,18
106,45,22,42,41,29
108,42,38,56,157,56
109,36,16,9,25,11
110,12,6,11,11,10
111,17,37,14,12,17
112,11,7,10,10,14
113,18,6,7,12,15
114,117,14,52,52,47
115,71,14,12,27,27
118,156,12,17,28,27
119,22,16,10,6,6
120,24,7,7,12,18
121,17,73,9,16,16
122,16,20,16,14,14
123,24,14,9,13,11
124,29,13,17,21,31
125,24,7,5,5,5
126,71,13,27,22,18
127,65,29,35,35,46
128,33,13,17,24,25
129,39,15,18,23,29
130,22,12,23,14,15
131,10,10,8,11,11
133,59,810,25,27,26
134,27,12,18,22,12
135,40,16,18,6,11
136,7,13,6,7,6
137,47,46,28,34,37
138,13,27,17,16,16
139,42,23,38,22,26
140,22,26,23,24,41
141,25,33,16,21,10
142,32,35,56,23,62
143,24,18,22,22,19
144,15,7,16,17,28
145,23,33,7,7,15
146,97,16,52,38,63
147,62,45,21,33,32
148,17,8,8,17,12
149,49,95,38,51,53
150,106,102,86,77,67
151,50,15,22,11,12
152,8,6,23,5,5
153,34,21,16,25,26
154,42,11,15,26,18
155,56,24,24,35,31
156,13,11,16,12,13
157,31,19,31,23,25
