snippet_id,stackoverflow,chatgpt,chatgpt2025,deepseek,Gemini
2,1,1,2,2,1
3,2,3,1,2,2
4,3,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
8,2,3,2,1,1
9,1,1,3,1,2
10,1,1,1,1,1
11,3,1,1,1,2
12,1,1,2,1,1
13,1,1,3,2,3
14,1,1,1,1,1
15,2,3,2,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,2,1,1
19,1,1,1,1,1
20,1,1,1,1,1
23,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,2,1
27,1,1,1,1,1
28,1,1,3,1,2
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,2,1,1,2
33,1,1,1,1,1
34,1,1,1,1,1
35,2,2,1,2,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,3,1,1,3
39,1,3,2,1,2
40,1,1,1,1,1
41,3,1,2,1,2
42,1,1,1,1,1
43,1,1,1,1,1
44,3,2,3,2,1
45,2,1,2,2,2
46,1,1,1,1,1
47,1,1,1,1,1
48,1,1,1,1,1
49,2,1,1,2,2
50,1,2,1,1,1
51,2,2,3,3,3
52,1,1,1,1,1
53,2,2,2,3,3
55,1,2,1,1,1
56,1,1,3,2,1
57,1,1,1,1,1
58,2,3,2,3,2
59,1,1,1,1,2
60,3,3,3,2,3
61,1,1,1,1,1
62,3,3,3,3,3
63,1,1,1,2,3
64,2,1,1,1,3
65,2,3,2,2,2
66,3,1,1,1,1
67,2,1,1,1,2
68,1,1,1,1,1
69,1,1,2,2,3
70,1,1,1,1,1
71,2,1,1,1,2
72,1,1,1,1,1
74,1,2,1,1,1
75,1,1,2,1,1
76,1,1,1,1,1
79,1,1,1,1,1
80,3,2,1,1,2
81,1,1,1,1,3
82,1,1,1,3,1
83,1,1,1,1,1
84,2,1,1,1,1
85,1,1,1,1,2
86,1,1,1,1,1
87,1,1,1,1,1
88,2,1,1,1,1
89,1,2,1,2,3
90,1,1,1,1,1
91,1,2,1,2,1
92,1,2,1,2,1
93,1,1,1,1,1
94,1,1,1,1,1
95,3,1,1,1,1
96,1,1,1,1,1
97,3,1,1,3,1
98,1,1,1,1,1
99,1,1,1,1,1
100,2,3,3,3,3
101,1,1,1,1,3
103,1,1,1,1,1
104,1,1,1,1,2
105,1,1,1,1,1
106,1,1,1,1,1
108,1,3,1,1,1
109,2,1,1,2,2
110,1,1,1,1,1
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,1
114,3,1,2,2,3
115,3,1,1,2,3
118,1,2,1,2,1
119,1,1,1,1,1
120,1,1,1,1,3
121,1,1,1,1,1
122,2,1,1,1,1
123,3,2,1,1,1
124,2,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,3,2,2,1,2
128,1,2,1,1,1
129,1,2,1,2,3
130,1,1,1,1,1
131,1,1,1,1,1
133,1,1,1,1,1
134,1,1,1,1,1
135,3,1,1,1,3
136,1,1,1,1,1
137,1,1,1,1,1
138,1,1,1,1,1
139,2,1,1,2,1
140,1,1,1,1,2
141,1,2,1,1,1
142,1,2,1,2,2
143,1,1,1,1,2
144,1,1,1,1,1
145,1,1,1,1,1
146,3,2,1,1,1
147,1,3,1,1,2
148,1,1,1,1,1
149,1,1,1,3,2
150,1,2,1,2,1
151,3,1,1,1,1
152,1,1,1,1,1
153,1,1,1,1,3
154,1,1,1,1,1
155,1,2,1,1,1
156,1,1,1,1,1
157,1,1,1,1,1
158,1,1,1,1,1
159,1,1,1,1,1
160,3,1,1,1,2
161,1,1,1,1,1
