snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,,,java:S1854,,
3,,"java:S1481,java:S1854",,,
4,,java:S108,,,
5,"java:S1481,java:S1854",,"java:S125,java:S1481,java:S1854,java:S2094","java:S1481,java:S1854","java:S1481,java:S1854"
6,,,,java:S1068,java:S1068
7,,,,,
8,"java:S1068,java:S3457",,,,
9,,java:S1854,,,java:S1854
10,,,,,
11,,java:S1068,,,
12,,,,,
13,"java:S1481,java:S1854",,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
14,,,,,
15,,"java:S1481,java:S1854","java:S1481,java:S1854",,
16,,,,,
17,,,,,
18,,"java:S1481,java:S1854",,,
19,,"java:S1481,java:S1854",,,
20,,,,,"java:S1481,java:S1854"
21,,,,,
22,,,,,
23,"java:S1481,java:S1854","java:S1481,java:S1854",,"java:S1481,java:S1854","java:S1481,java:S1854"
24,,,,,
25,,"java:S1481,java:S1854",,,
26,java:S4925,"java:S1854,java:S4925",java:S4925,,
27,,java:S1854,,,
28,,"java:S1481,java:S1854",,,
29,,java:S1172,,,
30,java:S1186,java:S2094,"java:S1068,java:S1481,java:S1854",,java:S1186
31,,,,,
32,,,,,
33,,,java:S1130,java:S1130,
34,,"java:S1481,java:S1854",,,
35,,,,java:S125,
36,,java:S1068,,,
37,,,,,
38,"java:S2094,java:S2326",,,"java:S2094,java:S2326","java:S1068,java:S2326"
39,,"java:S125,java:S1481,java:S1854",,,"java:S1481,java:S1854"
40,,,,,
41,java:S3457,java:S1144,,,java:S3457
42,,,,,
43,,,,,
44,,,,,
45,,"java:S125,java:S1481,java:S1854",,,
46,,"java:S1481,java:S1854,java:S2094","java:S1481,java:S1854",,
47,,"java:S1481,java:S1854",,,
48,"java:S1481,java:S1854","java:S1481,java:S1854",,,"java:S1481,java:S1854"
49,,,,,
50,,,java:S1068,,java:S1068
51,,,,,"java:S1481,java:S1854"
52,,,,,
53,,"java:S1481,java:S1854","java:S1481,java:S1854",java:S125,
54,,,,,
55,,,,,"java:S1481,java:S1854"
56,,"java:S1481,java:S1854",,,
57,,,,,"java:S1481,java:S1854"
58,,,"java:S1481,java:S1854",,
59,,"java:S108,java:S1481,java:S1854",,,
60,,,,,
61,,,,,"java:S1481,java:S1854"
62,,,,,
63,,"java:S1116,java:S125",,,
64,,,,,
65,,"java:S1481,java:S1854",,,
66,,"java:S1481,java:S1854",,,
67,,"java:S1481,java:S1854",,,
68,,,,"java:S1481,java:S1854","java:S1481,java:S1854"
69,,,,,"java:S1481,java:S1854"
70,,"java:S1481,java:S1854",,,
71,,"java:S125,java:S1481,java:S1854",,,
72,,"java:S1481,java:S1854",,,
73,,,,,
74,,,,java:S1068,
75,,"java:S1481,java:S1854","java:S1481,java:S1854",,"java:S1481,java:S1854"
76,java:S125,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,"java:S1481,java:S1854",,,
82,,,,,
83,,,,,
84,"java:S1144,java:S125",,,,
85,,java:S125,,,java:S125
86,,,,,
87,,,,,
88,,java:S108,,,
89,,,,,
90,,,"java:S1481,java:S1854",,"java:S1481,java:S1854"
91,,java:S1854,,,java:S1068
92,,,,,
93,,,,,
94,"java:S125,java:S1481,java:S1854",,,,
95,,,,"java:S1481,java:S1854",
96,,"java:S1481,java:S1854",,,
97,java:S125,,,java:S1481,
98,,,,,
99,,,,,
100,,,,,"java:S1481,java:S1854"
101,,,,,
102,,,,,
103,,java:S1186,,,
104,"java:S1481,java:S1854",,,,
105,,,,,
106,,,,,
107,,,,,
108,,,"java:S1481,java:S1854",java:S3457,java:S1068
109,java:S125,,,,
110,,,,,"java:S1481,java:S1854"
111,,,,,
112,,,,,
113,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
114,,"java:S1481,java:S1854","java:S1481,java:S1854",,
115,,,,,
116,,,,,
117,,,,,
118,,"java:S1481,java:S1854",,,
119,,,,,
120,,"java:S1481,java:S1854",,,"java:S1481,java:S1854"
121,,,,,
122,,"java:S1481,java:S1854",,,
