snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,java:S2140,,,,
7,,,,,
8,java:S1066,,,,
9,,java:S1488,,,
10,,,,,
11,,java:S1488,,,
12,java:S1126,,,,java:S1126
13,,java:S1125,,,
14,,,,,
15,,,,,
16,,java:S1604,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,java:S2293,,,
27,java:S3012,,java:S3012,,
28,,java:S1604,,,
29,,java:S1604,,,
30,,,,,
31,,,,,
32,,,,,
33,,"java:S2293,java:S3012",java:S1604,,
34,,java:S2130,,,
35,,,,,
36,,java:S2293,,,
37,,,,,
38,,,java:S2293,,
39,,,,,
40,,,,,
41,java:S1905,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,java:S1604,java:S1604,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,java:S1066,,,
56,,,,,
57,,,,,
58,,,,,
59,,,java:S2293,,
60,,,"java:S1604,java:S2293",,
61,,,,,
62,,,,,
63,,java:S1066,,,
64,,,java:S2293,,
65,,,,,
66,,java:S2293,java:S2293,,
67,,java:S2293,,,
68,,java:S1604,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,java:S2293,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,java:S2129,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,java:S1488,,,
93,,,,,
94,,,,,
95,,java:S2293,,,
96,,java:S2129,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,java:S2293,,,
102,,,,,
103,,,,,
104,,,,,
105,,java:S2293,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,"java:S1602,java:S1611",,,
112,,java:S2129,,,
113,,,,,
114,,,java:S1488,,
115,,,,,
116,,,,,
117,,,,,
118,,java:S2293,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,java:S2293,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,"java:S1604,java:S2140,java:S2293",,,
134,,,,,
135,,java:S7158,,,
136,,,,,
137,,java:S2293,,,
138,,,,java:S1612,java:S1612
139,,,,,
140,,,,,
141,,,,,
142,,,java:S1488,,
143,,java:S2293,,,
144,,,,,
145,,,,,
146,,,java:S1602,java:S1602,java:S1602
147,,java:S3626,java:S1602,,
148,,,,,
149,,,,,
150,,java:S2293,java:S2293,,
151,,,,,
152,,,,,
153,,java:S2293,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,java:S1905,,
160,,,,,
161,,,,,
162,java:S3012,,java:S3012,java:S3012,
163,,,,,
164,,"java:S1604,java:S2293",,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,java:S1602,,
173,,,java:S1604,,
174,,java:S2293,,,
175,,,,,
176,,,,,
177,,,,,
178,,java:S1602,,,
179,,,,,
180,,,java:S2147,,
181,,,,,
182,,,,,
183,java:S7158,,,java:S7158,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,java:S2140
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,java:S3012,java:S2293,java:S3012,java:S3012,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,java:S3012,,
200,,,,,
201,,,,,
202,,,,,
203,,java:S2293,java:S2293,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,java:S2293,,
219,,java:S1905,,,
220,,java:S2293,java:S2293,,
221,,java:S2293,,,
222,,java:S2129,,,
223,,,,,
224,,java:S2293,,,
225,,,,,java:S2293
226,,,java:S1066,,
227,,,,,
228,,,,,
229,,,java:S1488,,
230,,,,,
231,,,,,
232,,,java:S2293,,
233,,,,,java:S1612
234,,,,,
235,,,,,
236,,java:S2129,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,java:S2293,,,
242,,,,,
243,,,,,
244,,,,,
245,,java:S1488,,,
246,,,,,
247,,java:S1604,,,
248,,,,,
249,,,,,
250,java:S1604,java:S1604,,,java:S1602
251,,,,,
252,,java:S2293,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,java:S2293,,,
259,,,,,
260,,,java:S2093,,
261,,,,,
262,,,java:S2147,,
263,,java:S2293,,,
264,,,,,
265,java:S1604,,,,
266,,,,,
267,,,,,
268,,java:S2293,,,
269,java:S2093,java:S2147,,,
270,,,,,
271,,,,,
272,,java:S2293,,,
273,,java:S2093,,,
274,"java:S1604,java:S1612",,,java:S1602,java:S1602
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,java:S1611,java:S1612,,,java:S1612
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,java:S1604,,,
285,,,,,
286,,,,,
287,,,java:S1125,,
288,,,,,java:S1488
289,,,,,
290,,,,,
291,,"java:S2140,java:S2293",,,
292,,,,,
293,,,,,
294,,,,,
295,,java:S2293,,,
296,,,,,
297,java:S1604,,,,
298,,,,,
299,,java:S2129,,,
300,,,,java:S1604,
301,,,,,
302,java:S3012,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,java:S1905
310,,,,,
311,,java:S1602,,,
312,java:S1604,"java:S1604,java:S2293",,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,java:S3012,,,java:S3012,
320,java:S3012,,,,
321,java:S2093,,,,
322,,,,,
323,,,,,
324,,java:S1602,,,
325,java:S1604,java:S1066,java:S1602,,
326,,,,,
327,,,,,
328,,,,,java:S1602
329,,java:S1604,,,
330,java:S1126,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,java:S2293,,
336,,java:S1604,,java:S1602,java:S1602
337,,,,,
338,,java:S2293,,,
339,,,,,
340,,,,,
341,,java:S2293,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,java:S2093,,,
354,,,,,
355,,,,,
356,,,,"java:S1602,java:S1612",
357,,java:S1858,,,"java:S1602,java:S1612"
