rule_key,stackoverflow_code_snippets,stackoverflow_instancias,chatgpt_code_snippets,chatgpt_instancias,chatgpt2025_code_snippets,chatgpt2025_instancias,deepseek_code_snippets,deepseek_instancias,Gemini_code_snippets,Gemini_instancias
java:S1117,0,0,1,1,0,0,0,0,0,0
java:S112,4,5,2,2,2,3,2,4,6,8
java:S1141,1,1,0,0,1,1,0,0,1,1
java:S1161,6,10,4,6,6,8,4,5,0,0
java:S1165,0,0,0,0,0,0,0,0,1,1
java:S1171,1,1,0,0,0,0,0,0,0,0
java:S1192,8,9,5,6,4,5,5,6,17,24
java:S1444,3,4,1,1,1,1,1,2,1,1
java:S1700,1,1,0,0,0,0,1,1,0,0
java:S2209,0,0,0,0,0,0,0,0,1,3
java:S2387,0,0,0,0,1,1,1,1,0,0
java:S2440,1,1,1,3,0,0,0,0,0,0
java:S3010,1,1,0,0,0,0,0,0,0,0
java:S3252,4,5,3,3,6,6,5,5,7,7
java:S3358,0,0,0,0,0,0,1,1,0,0
java:S3740,18,26,1,1,0,0,0,0,1,2
java:S4719,6,13,0,0,1,1,0,0,1,2
java:S4977,1,1,0,0,0,0,0,0,0,0
java:S5843,0,0,0,0,0,0,1,1,0,0
java:S6035,0,0,0,0,0,0,1,1,0,0
java:S6213,2,2,1,1,0,0,1,1,2,2
java:S6353,3,10,0,0,0,0,1,1,2,3
java:S6397,0,0,0,0,0,0,1,2,0,0
TOTAL_AVOID_NESTED_STRUCTURES,1,1,0,0,1,1,1,1,1,1
TOTAL_AVOID_SHADOWING,1,1,1,1,1,1,1,1,0,0
TOTAL_IMPROVE_NAMING,3,3,1,1,0,0,2,2,2,2
TOTAL_IMPROVE_REGEX_EXPRESSIONS,3,10,0,0,0,0,3,5,2,3
TOTAL_REPLACE_MAGIC_LITERALS,12,22,5,6,5,6,5,6,18,26
TOTAL_USE_PROPER_MODIFIERS,27,40,6,8,7,9,5,7,3,4
TOTAL_USE_SPECIFIC_EXCEPTIONS,4,5,2,2,2,3,2,4,6,8
TOTAL_USE_STATIC_PROPERTY,7,8,4,6,6,6,5,5,8,10
TOTAL_GERAL,54,90,19,24,21,26,24,31,39,54
