rule_key,stackoverflow_code_snippets,stackoverflow_instancias,chatgpt_code_snippets,chatgpt_instancias,chatgpt2025_code_snippets,chatgpt2025_instancias,deepseek_code_snippets,deepseek_instancias,Gemini_code_snippets,Gemini_instancias
java:S100,3,4,0,0,0,0,0,0,0,0
java:S101,3,3,0,0,0,0,0,0,0,0
java:S1066,3,3,1,1,0,0,0,0,1,1
java:S1068,6,11,6,11,7,13,6,10,2,4
java:S108,9,13,0,0,0,0,0,0,0,0
java:S1116,3,3,0,0,0,0,0,0,0,0
java:S1117,0,0,1,1,0,0,0,0,0,0
java:S112,4,5,2,2,2,3,2,4,6,8
java:S1124,3,5,0,0,0,0,0,0,0,0
java:S1125,1,1,1,1,0,0,0,0,0,0
java:S1126,0,0,0,0,0,0,1,1,2,2
java:S1130,2,2,1,1,1,1,0,0,1,1
java:S1141,1,1,0,0,1,1,0,0,1,1
java:S1144,4,4,0,0,0,0,2,2,2,2
java:S115,1,8,0,0,0,0,0,0,0,0
java:S116,2,19,0,0,0,0,0,0,0,0
java:S1161,6,10,4,6,6,8,4,5,0,0
java:S1165,0,0,0,0,0,0,0,0,1,1
java:S117,16,42,1,1,1,1,0,0,3,9
java:S1171,1,1,0,0,0,0,0,0,0,0
java:S1172,4,4,2,2,0,0,1,1,0,0
java:S1186,6,9,0,0,0,0,2,3,1,1
java:S1192,8,9,5,6,4,5,5,6,17,24
java:S1197,11,16,1,1,1,1,0,0,0,0
java:S125,16,23,3,4,4,4,9,10,28,31
java:S127,1,2,0,0,0,0,1,1,0,0
java:S128,0,0,0,0,1,3,0,0,1,2
java:S1301,3,3,0,0,0,0,0,0,0,0
java:S131,2,4,0,0,0,0,0,0,0,0
java:S135,1,1,2,2,0,0,0,0,1,1
java:S1444,3,4,1,1,1,1,1,2,1,1
java:S1450,1,1,2,2,2,3,1,1,1,1
java:S1479,1,2,0,0,0,0,0,0,0,0
java:S1481,86,111,43,63,31,39,58,88,20,28
java:S1488,4,4,3,3,0,0,1,1,0,0
java:S1602,4,5,4,4,4,4,6,8,0,0
java:S1604,12,12,4,4,2,2,0,0,6,8
java:S1611,1,2,0,0,0,0,0,0,1,2
java:S1612,1,1,0,0,2,2,4,4,1,1
java:S1659,15,19,3,3,4,4,0,0,0,0
java:S1700,1,1,0,0,0,0,1,1,0,0
java:S1854,90,116,46,69,30,37,61,90,16,22
java:S1858,1,1,0,0,0,0,0,0,0,0
java:S1871,0,0,1,1,0,0,1,2,0,0
java:S1905,1,1,1,1,0,0,1,1,1,1
java:S2093,2,2,1,1,0,0,0,0,2,2
java:S2094,2,2,2,2,2,2,1,1,2,2
java:S2129,6,7,0,0,0,0,0,0,0,0
java:S2130,1,1,0,0,0,0,0,0,0,0
java:S2140,2,5,0,0,0,0,1,1,1,1
java:S2147,1,1,2,2,0,0,0,0,0,0
java:S2209,0,0,0,0,0,0,0,0,1,3
java:S2234,2,3,1,2,1,2,1,2,1,2
java:S2293,34,42,11,14,0,0,1,1,0,0
java:S2326,0,0,0,0,1,1,1,1,1,3
java:S2387,0,0,0,0,1,1,1,1,0,0
java:S2440,1,1,1,3,0,0,0,0,0,0
java:S3008,1,1,0,0,0,0,0,0,1,1
java:S3010,1,1,0,0,0,0,0,0,0,0
java:S3012,1,1,4,4,3,3,0,0,6,7
java:S3252,4,5,3,3,6,6,5,5,7,7
java:S3358,0,0,0,0,0,0,1,1,0,0
java:S3457,1,1,0,0,1,1,1,1,2,2
java:S3626,1,1,0,0,0,0,0,0,0,0
java:S3740,18,26,1,1,0,0,0,0,1,2
java:S3776,2,4,0,0,1,1,0,0,5,5
java:S3973,1,1,0,0,0,0,0,0,0,0
java:S4719,6,13,0,0,1,1,0,0,1,2
java:S4925,4,4,2,2,0,0,0,0,1,1
java:S4977,1,1,0,0,0,0,0,0,0,0
java:S5843,0,0,0,0,0,0,1,1,0,0
java:S6035,0,0,0,0,0,0,1,1,0,0
java:S6213,2,2,1,1,0,0,1,1,2,2
java:S6353,3,10,0,0,0,0,1,1,2,3
java:S6397,0,0,0,0,0,0,1,2,0,0
java:S6541,1,1,0,0,0,0,0,0,0,0
java:S7158,1,1,0,0,1,1,0,0,1,1
TOTAL_CLARIFY_CODE_INTENT,54,90,19,24,21,26,24,31,39,54
TOTAL_CLEAN_UP,132,303,59,155,45,98,81,209,53,97
TOTAL_CONVENTION,51,130,5,7,6,11,2,3,6,14
TOTAL_IMPROVE_CODE_MODULARITY,4,9,4,4,3,4,1,1,6,7
TOTAL_PREFER_CONCISE_CODE,70,91,31,35,11,12,14,17,21,26
TOTAL_GERAL,216,623,97,225,80,151,114,261,104,198
