rule_key,stackoverflow_code_snippets,stackoverflow_instancias,chatgpt_code_snippets,chatgpt_instancias,chatgpt2025_code_snippets,chatgpt2025_instancias,deepseek_code_snippets,deepseek_instancias,Gemini_code_snippets,Gemini_instancias
java:S1068,6,11,6,11,7,13,6,10,2,4
java:S108,9,13,0,0,0,0,0,0,0,0
java:S1116,3,3,0,0,0,0,0,0,0,0
java:S1130,2,2,1,1,1,1,0,0,1,1
java:S1144,4,4,0,0,0,0,2,2,2,2
java:S1172,4,4,2,2,0,0,1,1,0,0
java:S1186,6,9,0,0,0,0,2,3,1,1
java:S125,16,23,3,4,4,4,9,10,28,31
java:S1481,86,111,43,63,31,39,58,88,20,28
java:S1854,90,116,46,69,30,37,61,90,16,22
java:S1871,0,0,1,1,0,0,1,2,0,0
java:S2094,2,2,2,2,2,2,1,1,2,2
java:S2326,0,0,0,0,1,1,1,1,1,3
java:S3457,1,1,0,0,1,1,1,1,2,2
java:S4925,4,4,2,2,0,0,0,0,1,1
TOTAL_REMOVE_COMMENTED_CODE,16,23,3,4,4,4,9,10,28,31
TOTAL_REMOVE_DUPLICATE_CODE,0,0,1,1,0,0,1,2,0,0
TOTAL_REMOVE_USELESS_CODE,124,280,56,150,41,94,74,197,31,66
TOTAL_GERAL,132,303,59,155,45,98,81,209,53,97
