rule_key,stackoverflow_code_snippets,stackoverflow_instancias,chatgpt_code_snippets,chatgpt_instancias,chatgpt2025_code_snippets,chatgpt2025_instancias,deepseek_code_snippets,deepseek_instancias,Gemini_code_snippets,Gemini_instancias
java:S100,3,4,0,0,0,0,0,0,0,0
java:S101,3,3,0,0,0,0,0,0,0,0
java:S1124,3,5,0,0,0,0,0,0,0,0
java:S115,1,8,0,0,0,0,0,0,0,0
java:S116,2,19,0,0,0,0,0,0,0,0
java:S117,16,42,1,1,1,1,0,0,3,9
java:S1197,11,16,1,1,1,1,0,0,0,0
java:S127,1,2,0,0,0,0,1,1,0,0
java:S128,0,0,0,0,1,3,0,0,1,2
java:S1301,3,3,0,0,0,0,0,0,0,0
java:S131,2,4,0,0,0,0,0,0,0,0
java:S1659,15,19,3,3,4,4,0,0,0,0
java:S2234,2,3,1,2,1,2,1,2,1,2
java:S3008,1,1,0,0,0,0,0,0,1,1
java:S3973,1,1,0,0,0,0,0,0,0,0
TOTAL_FOLLOW_CODING_STYLES,29,43,4,6,5,7,1,2,1,2
TOTAL_FOLLOW_CONDITIONAL,5,10,0,0,1,3,1,1,1,2
TOTAL_USE_NAMING_CONVENTIONS,24,77,1,1,1,1,0,0,4,10
TOTAL_GERAL,51,130,5,7,6,11,2,3,6,14
