rule_key,stackoverflow_code_snippets,stackoverflow_instancias,chatgpt_code_snippets,chatgpt_instancias,chatgpt2025_code_snippets,chatgpt2025_instancias,deepseek_code_snippets,deepseek_instancias,Gemini_code_snippets,Gemini_instancias
java:S1066,3,3,1,1,0,0,0,0,1,1
java:S1125,1,1,1,1,0,0,0,0,0,0
java:S1126,0,0,0,0,0,0,1,1,2,2
java:S1488,4,4,3,3,0,0,1,1,0,0
java:S1602,4,5,4,4,4,4,6,8,0,0
java:S1604,12,12,4,4,2,2,0,0,6,8
java:S1611,1,2,0,0,0,0,0,0,1,2
java:S1612,1,1,0,0,2,2,4,4,1,1
java:S1858,1,1,0,0,0,0,0,0,0,0
java:S1905,1,1,1,1,0,0,1,1,1,1
java:S2093,2,2,1,1,0,0,0,0,2,2
java:S2129,6,7,0,0,0,0,0,0,0,0
java:S2130,1,1,0,0,0,0,0,0,0,0
java:S2140,2,5,0,0,0,0,1,1,1,1
java:S2147,1,1,2,2,0,0,0,0,0,0
java:S2293,34,42,11,14,0,0,1,1,0,0
java:S3012,1,1,4,4,3,3,0,0,6,7
java:S3626,1,1,0,0,0,0,0,0,0,0
java:S7158,1,1,0,0,1,1,0,0,1,1
TOTAL_ELIMINATE_REDUNDANCY,49,58,16,19,0,0,4,4,3,3
TOTAL_MERGE_REDUNDANT_BLOCKS,4,4,3,3,0,0,0,0,1,1
TOTAL_PREFER_BUILT-IN_METHODS,4,7,4,4,4,4,1,1,8,9
TOTAL_SIMPLIFY_LAMBDAS,17,20,8,8,7,8,9,12,7,11
TOTAL_USE_TRY_WITH_RESOURCES,2,2,1,1,0,0,0,0,2,2
TOTAL_GERAL,70,91,31,35,11,12,14,17,21,26
