ID,Human Label,Response.txt,Match
1,Improve Naming,Improve Naming,YES
2,Improve Naming,Improve Naming,YES
3,Improve Naming,Improve Naming,YES
4,Improve Naming,Improve Naming,YES
5,Improve Naming,Improve Naming,YES
6,Improve Naming,Improve Naming,YES
7,Improve Naming,Improve Naming,YES
8,Improve Naming,Improve Naming,YES
9,Improve Naming,Improve Naming,YES
10,Improve Naming,Improve Naming,YES
11,Improve Naming,Improve Naming,YES
12,Improve Naming,Improve Naming,YES
13,Improve Naming,Improve Naming,YES
14,Improve Naming,Improve Naming,YES
15,Improve Naming,Improve Naming,YES
16,Improve Naming,Improve Naming,YES
17,Improve Naming,Improve Naming,YES
18,Improve Naming,Improve Naming,YES
19,Improve Naming,Improve Naming,YES
20,Improve Naming,Improve Naming,YES
21,Improve Naming,Improve Naming,YES
22,Improve Naming,Improve Naming,YES
23,Improve Naming,Improve Naming,YES
24,Improve Naming,Improve Naming,YES
25,Improve Naming,Improve Naming,YES
26,Improve Naming,Improve Naming,YES
27,Improve Naming,Improve Naming,YES
28,Improve Naming,Improve Naming,YES
29,Improve Naming,Improve Naming,YES
30,Improve Naming,Improve Naming,YES
31,Improve Naming,Improve Naming,YES
32,Improve Naming,Improve Naming,YES
33,Improve Naming,Improve Naming,YES
34,Improve Naming,Improve Naming,YES
35,Improve Naming,Improve Naming,YES
36,Improve Naming,Improve Naming,YES
37,Improve Naming,Improve Naming,YES
38,Improve Naming,Improve Naming,YES
39,Improve Naming,Improve Naming,YES
40,Improve Naming,Improve Naming,YES
41,Improve Naming,Improve Naming,YES
42,Improve Naming,Improve Naming,YES
43,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
44,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
45,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
46,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
47,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
48,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
49,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
50,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
51,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
52,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
53,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
54,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
55,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
56,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
57,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
58,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
59,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
60,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
61,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
62,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
63,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
64,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
65,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
66,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
67,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
68,Extract Literals to Constants,Extract Literals to Constants,YES
69,Extract Literals to Constants,Extract Literals to Constants,YES
70,Extract Literals to Constants,Extract Literals to Constants,YES
71,Extract Literals to Constants,Extract Literals to Constants,YES
72,Extract Literals to Constants,Replace Deprecated Code,NO
73,Clarify Numeric Constants,Clarify Numeric Constants,YES
74,Extract Literals to Constants,Extract Literals to Constants,YES
75,Extract Literals to Constants,Extract Literals to Constants,YES
76,Extract Literals to Constants,Extract Literals to Constants,YES
77,Extract Literals to Constants,Extract Literals to Constants,YES
78,Extract Literals to Constants,Extract Literals to Constants,YES
79,Extract Literals to Constants,Extract Literals to Constants,YES
80,Extract Literals to Constants,Extract Literals to Constants,YES
81,Extract Literals to Constants,Extract Literals to Constants,YES
82,Extract Literals to Constants,Extract Literals to Constants,YES
83,Extract Literals to Constants,Extract Literals to Constants,YES
84,Clarify Test Intent,Clarify Test Intent,YES
85,Clarify Test Intent,Clarify Test Intent,YES
86,Clarify Test Intent,Clarify Test Intent,YES
87,Clarify Test Intent,Clarify Test Intent,YES
88,Clarify Test Intent,Replace Generic with Specialized API,NO
89,Clarify Test Intent,Clarify Test Intent,YES
90,Clarify Test Intent,Clarify Test Intent,YES
91,Clarify Test Intent,Clarify Test Intent,YES
92,Clarify Test Intent,Clarify Test Intent,YES
93,Clarify Test Intent,Clarify Test Intent,YES
94,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
95,Replace Generic with Specialized API,Clarify Test Intent,NO
96,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
98,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
99,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
100,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
101,Replace Generic with Specialized API,Reorder Elements,NO
102,Clarify Numeric Constants,Clarify Numeric Constants,YES
103,Extract Variable,Improve String Formatting,NO
104,Extract Variable,Extract Variable,YES
105,Extract Variable,Extract Variable,YES
106,Extract Variable,Clarify Numeric Constants,NO
107,Extract Variable,Simplify Object Construction and Conversion,NO
108,Extract Variable,Extract Variable,YES
109,Apply Early Return,Apply Early Return,YES
110,Apply Early Return,Apply Early Return,YES
111,Apply Early Return,Apply Early Return,YES
112,Apply Early Return,Apply Early Return,YES
113,Apply Early Return,Apply Early Return,YES
114,Apply Early Return,Apply Early Return,YES
115,Prefer Positive Conditions,Prefer Positive Conditions,YES
116,Prefer Positive Conditions,Prefer Positive Conditions,YES
117,Prefer Positive Conditions,Prefer Positive Conditions,YES
118,Prefer Positive Conditions,Prefer Positive Conditions,YES
119,Replace Ternary with If-Else,Replace Ternary with If-Else,YES
120,Replace Ternary with If-Else,Replace Ternary with If-Else,YES
121,Replace Ternary with If-Else,Collapse Boolean Return,NO
122,Replace Ternary with If-Else,Replace Ternary with If-Else,YES
123,Extract Literals to Enum,Extract Literals to Enum,YES
124,Extract Literals to Enum,Extract Literals to Enum,YES
125,Extract Literals to Enum,Extract Literals to Enum,YES
126,Extract Literals to Enum,Extract Literals to Enum,YES
127,Restrict Field Visibility,Restrict Field Visibility,YES
128,Restrict Field Visibility,Restrict Field Visibility,YES
129,Restrict Field Visibility,Restrict Field Visibility,YES
130,Clarify Numeric Constants,Clarify Numeric Constants,YES
131,Clarify Numeric Constants,Clarify Numeric Constants,YES
132,Clarify Numeric Constants,Clarify Numeric Constants,YES
133,Extract field into local variable,Extract field into local variable,YES
134,Extract field into local variable,Extract field into local variable,YES
135,Introduce Named Overloads,Introduce Named Overloads,YES
136,Introduce Named Overloads,Introduce Named Overloads,YES
137,Use domain-specific types to clarify intent,Use domain-specific types to clarify intent,YES
138,Use domain-specific types to clarify intent,Use domain-specific types to clarify intent,YES
139,Make generics explicit in type checks,Make generics explicit in type checks,YES
140,Replace Deprecated Code,Replace Deprecated Code,YES
141,Add a break to a for loop,Add a break to a for loop,YES
142,prefer specific exception handling,prefer specific exception handling,YES
143,Use abstract type,Use abstract type,YES
144,Replace Condition with ternary,Replace Condition with ternary,YES
145,Prefer Built-in Methods,Prefer Built-in Methods,YES
146,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
147,Prefer Built-in Methods,Prefer Built-in Methods,YES
148,Prefer Built-in Methods,Replace Generic with Specialized API,NO
149,Prefer Built-in Methods,Prefer Built-in Methods,YES
150,Prefer Built-in Methods,Prefer Built-in Methods,YES
151,Prefer Built-in Methods,Prefer Built-in Methods,YES
152,Prefer Built-in Methods,Prefer Built-in Methods,YES
153,Prefer Built-in Methods,Prefer Built-in Methods,YES
154,Prefer Built-in Methods,Prefer Built-in Methods,YES
155,Clarify Numeric Constants,Clarify Numeric Constants,YES
157,Use domain-specific types to clarify intent,Use domain-specific types to clarify intent,YES
158,Prefer Built-in Methods,Prefer Built-in Methods,YES
159,Prefer Built-in Methods,Prefer Built-in Methods,YES
160,Prefer Built-in Methods,Prefer Built-in Methods,YES
161,Prefer Built-in Methods,Prefer Built-in Methods,YES
162,Prefer Built-in Methods,Prefer Built-in Methods,YES
163,Prefer Built-in Methods,Prefer Built-in Methods,YES
164,Prefer Built-in Methods,Prefer Built-in Methods,YES
165,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
166,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
167,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
168,Simplify Object Construction and Conversion,Prefer Built-in Methods,NO
169,Simplify Object Construction and Conversion,Prefer Built-in Methods,NO
170,Simplify Object Construction and Conversion,Remove Duplicate Code,NO
171,Simplify Object Construction and Conversion,Extract field into local variable,NO
172,Simplify Object Construction and Conversion,Prefer Built-in Methods,NO
173,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
174,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
175,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
176,Simplify Object Construction and Conversion,Use domain-specific types to clarify method intent,NO
177,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
178,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
179,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
180,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
181,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
182,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
184,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
185,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
186,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
187,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
188,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
189,Replace Anonymous Class With Functional Style,Replace Anonymous Class With Functional Style,YES
190,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
191,Replace Lambda With Method Reference,Replace Lambda With Method Reference,YES
192,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
193,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
194,Replace Anonymous Classes With Lambda,Replace Anonymous Classes With Lambda,YES
195,Prefer Idiomatic Iteration,Prefer Built-in Methods,NO
196,Prefer Idiomatic Iteration,Prefer Built-in Methods,NO
