id	URL	number files	keyword	merged at	developer description	code before	code after	human label
1	https://github.com/Lightning-AI/LitServe/pull/224	1	readability	2024-08-27 07:00:58	improve code readability by renaming variable names	buffer: Dict[str, Union[Tuple[deque, asyncio.Event], asyncio.Event]],	    response_buffer: Dict[str, Union[Tuple[deque, asyncio.Event], asyncio.Event]],	Improve Naming
2	https://github.com/nasa/ncompare/pull/264	2	readability	2024-12-23 15:05:30	Fixing a misnamed variable in count_diffs()	both = len(set_a & set_b)	    shared = len(set_a & set_b)	Improve Naming
3	https://github.com/launchableinc/cli/pull/365	9	readability	2022-01-19 04:26:28	improve code readability by renaming variable names	 buffer: Dict[str, Union[Tuple[deque, asyncio.Event], asyncio.Event]],	    response_buffer: Dict[str, Union[Tuple[deque, asyncio.Event], asyncio.Event]],	Improve Naming
4	https://github.com/Election-Tech-Initiative/electionguard-python/pull/114	27	readability	2020-07-30 17:06:01	`plaintext` to `vote` for clarity	plaintext: str	vote: str	Improve Naming
5	https://github.com/jarun/buku/pull/345	6	readability	2018-12-31 15:50:11	Global variables that were still lowercase were made uppercase to clearly distinguish them from local variables. 	global myproxy	global MYPROXY	Improve Naming
6	https://github.com/CarperAI/trlx/pull/210	4	readability	2023-02-05 16:06:48	renames a few variables to be more descriptive. 	query_tensors = batch.input_ids	            prompt_tensors = batch.input_ids	Improve Naming
7	https://github.com/Azure/azure-kusto-python/pull/476	11	readability	2023-05-17 11:02:03	changed names of classes in _telemetry 	class KustoTracingAttributes:	class Span:	Improve Naming
8	https://github.com/vanvalenlab/deepcell-tracking/pull/54	6	readability	2021-04-13 00:51:14	Refactor `_check_feature` to `_validate_feature_name` for clarity. 	def _get_parent(self, frame, cell, predictions_dict):	    def _get_parent(self, frame, cell, predictions):	Improve Naming
9	https://github.com/dmwm/CRABServer/pull/7716	4	readability	2023-07-06 08:37:22	Rename update to rest method to reflect state change.  	okReplicas, notOKReplicas = self.checkLockStatus()	okFileDocs, notOKFileDocs = self.checkLockStatus()	Improve Naming
10	https://github.com/aws/aws-lambda-builders/pull/433	5	readability	2023-02-02 19:53:15	parameter names were kind of coupled to scratch and artifacts directory, so I changed them to accept a working directory and an output directory  	class TestEsbuildVersionCheckerAction(TestCase):	class TestEsbuildVersionChecker(TestCase):	Improve Naming
11	https://github.com/pantsbuild/pants/pull/9990	1	readability	2020-06-08 16:58:04	I am working on adding list of enum support to options, cleaning up the code as I try to figure out how things work.	def _convert_member_type(t, x):	def _convert_member_type(member_type, value):	Improve Naming
12	https://github.com/ansys/pyaedt/pull/2655	12	readability	2023-03-21 13:27:57	renamed method	 self._independent_variables[variable_name] = value	self._dependent_variables[variable_name] = value	Improve Naming
13	https://github.com/scikit-learn/scikit-learn/pull/13832	2	readability	2019-05-16 09:19:20	Renames variables trying to use the same variables shown in the reference.	class _X_operator(sparse.linalg.LinearOperator):	class _X_CenterStackOp(sparse.linalg.LinearOperator):	Improve Naming
14	https://github.com/getsentry/sentry/pull/68095	2	readability	2024-04-02 22:14:27	Renames some functions and variables   	if self._potential_match(src_path, frame_filename)	                if self._is_potential_match(src_path, frame_filename)	Improve Naming
15	https://github.com/great-expectations/great_expectations/pull/3103	31	readability	2021-07-23 01:08:40	[MAINTENANCE] rename map_metric.py to map_metric_provider.py (with DeprecationWarning) for a better code readability/interpretability	from .map_metric import (	from .map_metric_provider import (	Improve Naming
16	https://github.com/mlflow/mlflow/pull/5959	25	readability	2022-05-27 10:41:28	 Improve readability around a variable name 	def test_update_model_version_decription(self, mock_http):	    def test_update_model_version_description(self, mock_http):	Improve Naming
17	https://github.com/geopandas/geopandas/pull/3462	1	readability	2024-12-13 14:09:26	ensuring consistent variable naming across _clip_gdf_with_mask and clip functions by renaming the "mask_is_list_like" variable to "clipping_by_rectangle"   	mask_is_list_like = _mask_is_list_like_rectangle(mask)	    clipping_by_rectangle = _mask_is_list_like_rectangle(mask)	Improve Naming
18	https://github.com/logicalclocks/hopsworks-api/pull/308	3	readability	2024-08-30 13:59:40	Add _hr suffix to increase readability	offline_backfill_every = offline_write_options.pop(	            offline_backfill_every_hr = offline_write_options.pop(	Improve Naming
19	https://github.com/pytorch/vision/pull/5484	3	readability	2022-02-25 21:04:54	Changing `_HAS_VIDEO_DECODER` to `_HAS_GPU_VIDEO_DECODER` for improved readability.	_HAS_VIDEO_DECODER = True	    _HAS_GPU_VIDEO_DECODER = True	Improve Naming
20	https://github.com/home-assistant/core/pull/90617	1	readability	2023-04-01 14:24:02	Adjust context id variable names in the logbook processor to improve readability	context_id = context_lookup.memorize(row)	        context_id_bin = context_lookup.memorize(row)	Improve Naming
21	https://github.com/home-assistant/core/pull/126394	1	readability	2024-09-21 22:29:41	Renames some constants in **test_storage.py**.    	TEST_DATA: Final[dict[str, _TokenStoreT]] = {	TEST_STORAGE_DATA: Final[dict[str, _TokenStoreT]] = {	Improve Naming
22	https://github.com/great-expectations/great_expectations/pull/4949	1	readability	2022-04-25 21:29:31	Cleanup variable naming for better readability	 suite: ExpectationSuite = get_or_create_expectation_suite(	    expectation_suite: ExpectationSuite = get_or_create_expectation_suite(	Improve Naming
23	https://github.com/sony/model_optimization/pull/1283	13	readability	2024-12-03 14:46:52	Small cosmetic updates in keras mixed precision to improve readability     rename variable (commit message)	nodes = [n for n in graph.get_activation_configurable_nodes() if n not in weights_conf]	activation_configurable_nodes = [n for n in graph.get_activation_configurable_nodes() if n not in weights_conf]	Improve Naming
24	https://github.com/sql-machine-learning/elasticdl/pull/1405	1	readability	2019-11-01 09:42:18	Rename variable to enhance readability	tmp = {}	        non_embedding_gradients = {}	Improve Naming
25	https://github.com/TheAlgorithms/Python/pull/1403	1	readability	2019-10-19 18:14:38	I have changed the "Head" to "head"(making it more Pythonic) and also "tamp" to "temp"(Better readability) in singly linked list(under data structures) 	self.Head = None  # Initialize Head to None	       self.head = None  # Initialize head to None	Improve Naming
26	https://github.com/TheAlgorithms/Python/pull/6400	1	readability	2022-10-30 07:11:18	Increased Readability Of Variables	word_bysig = collections.defaultdict(list)	word_by_sig = collections.defaultdict(list)	Improve Naming
27	https://github.com/warpnet/salt-lint/pull/203	44	readability	2020-11-28 18:46:07	Renamed `matches` to `problems`.  - Updated some variable names.   	class SaltLintConfig(object):	class Configuration(object):	Improve Naming
28	https://github.com/ansible-collections/community.rabbitmq/pull/89	8	readability	2021-07-27 12:00:26	Hopefully it improves the code readability by renaming `run_in_check_mode` parameter to `force_exec_in_check_mode` in the `_exec` function used in multiple modules.	def _exec(self, args, run_in_check_mode=False):	def _exec(self, args, force_exec_in_check_mode=False):	Improve Naming
29	https://github.com/AppDaemon/appdaemon/pull/705	3	readability	2019-09-22 15:41:44	Enhance variable naming for better readability	apiurl = "{}/api/states/{}".format(config["ha_url"], entity_id)	        api_url = "{}/api/states/{}".format(config["ha_url"], entity_id)	Improve Naming
30	https://github.com/rapidsai/dependency-file-generator/pull/27	3	readability	2022-11-23 21:54:18	changes the names of a few functions 	def get_file_output(output):	def validate_requested_output_types(output):	Improve Naming
31	https://github.com/Azure/azure-iot-sdk-python/pull/380	16	readability	2019-10-31 23:07:26	Rename stages and ops for readability	class IotResponseEvent(PipelineEvent):	class ResponseEvent(PipelineEvent):	Improve Naming
32	https://github.com/Azure/azure-kusto-python/pull/270	6	readability	2021-01-05 15:31:28	Rename KustoIngestClient to QueuedIngestClient for readability	class KustoIngestClient:	class QueuedIngestClient:	Improve Naming
33	https://github.com/Cloud-CV/EvalAI/pull/2667	2	readability	2020-06-15 01:25:28	 Variable have understandable name that clearly describes it's functionality.	def challenge_host_detail(request, challenge_host_team_pk, pk):	def challenge_host_detail(request, challenge_host_team_pk, challenge_host_pk):	Improve Naming
34	https://github.com/ExcitedStates/qfit-3.0/pull/75	3	readability	2020-06-30 18:51:40	 including some variable naming 	is_this_rotamer = False	                                is_this_same_rotamer = False	Improve Naming
35	https://github.com/conan-io/conan/pull/6838	3	readability	2020-04-14 10:36:37	some minor pep8, the majority are naming variables	find_dependencies_block = find_transitive_dependencies(public_deps_names,                                                                    find_modules=True)	 f = find_transitive_dependencies(public_deps_names, find_modules=True)	Improve Naming
36	https://github.com/cs50/problems/pull/298	1	readability	2025-01-26 20:31:14	cuts a pair of duplicate function named 	def sentence_punctuation(): def sentence_punctuation():	def exclamation_marks(): def question_marks():	Improve Naming
37	https://github.com/DataDog/integrations-core/pull/12435	3	readability	2022-07-07 19:50:41	improves code readability by renaming a variable that did not make sense 	 if self.metric_collection_enabled and not self._replication_dr_secondary_mode:	        if self.metric_collection_enabled and not self._skip_dr_metric_collection:	Improve Naming
38	https://github.com/dmlc/dgl/pull/6451	1	readability	2023-10-16 09:47:45	Rename the variables  in NeighborSampler for better readability.	original_column_node_ids=original_column_node_ids,                 original_row_node_ids=seeds,	                original_column_node_ids=seeds,                 original_row_node_ids=original_row_node_ids,	Improve Naming
39	https://github.com/flyteorg/flytekit/pull/1642	1	readability	2023-05-16 22:33:15	 The name is not accurate. Rename it to improve readability  After `load_packages_and_modules`, the entities become **registrable**. 	serializable_entities = load_packages_and_modules(	    registrable_entities = load_packages_and_modules(	Improve Naming
40	https://github.com/home-assistant/core/pull/21528	1	readability	2019-02-28 12:05:41	Update person variable name for readability	latest_home = latest_not_home = latest_gps = latest = None	        latest_non_gps_home = latest_not_home = latest_gps = latest = None	Improve Naming
41	https://github.com/NVIDIA/nim-anywhere/pull/22	2	readability	2024-08-07 21:59:16	Update naming for pipeline components to improve readability	class ChatModelConfig(BaseModel):	class LLMModelConfig(BaseModel):	Improve Naming
42	https://github.com/openai/baselines/pull/585	1	readability	2018-09-18 21:14:39	Rename common variable for a bit more readability	M2 = m_a + m_b + np.square(delta) * count * batch_count / (count + batch_count)	M2 = m_a + m_b + np.square(delta) * count * batch_count / tot_count	Improve Naming
43	https://github.com/GeoscienceAustralia/gnssanalysis/pull/62	1	readability	2024-12-19 09:34:33	a bunch of renamed variables to hopefully make it clearer what this function is doing.	(((y - res_prev.T) + (res_next.T - y)) / 2),	        (((positions - res_prev.T) + (res_next.T - positions)) / 2),	Improve Naming
44	https://github.com/great-expectations/great_expectations/pull/6444	16	readability	2022-11-29 07:48:27	Modify names of variables in `ParameterBuilder` test modules to better communicate their meanings.  	if metric_configuration.id in resolved_metrics_sorted:	if metric_configuration.id in resolved_metrics:	Improve Naming
45	https://github.com/apache/airflow/pull/32529	1	readability	2023-07-12 00:02:22	Make the  conn view tests more readable by renaming some variables 	expected_result = {f"test_duplicate_postgres_connection_copy{i}" for i in range(1, 11)}	expected_connections_ids = {f"test_duplicate_postgres_connection_copy{i}" for i in range(1, 11)}	Improve Naming
46	https://github.com/pyhoneybot/honeybot/pull/196	1	readability	2023-06-28 04:17:06	Renamed command_parser method to core_commands_parse for clarity.    	isListenOn	is_listen_on	Improve Naming
47	https://github.com/huggingface/transformers/pull/28349	2	readability	2024-01-08 08:19:06	Rename gelu_act to activatioin	hidden_states = self.act(hidden_states)	        hidden_states = self.activation(hidden_states)	Improve Naming
48	https://github.com/spack/spack/pull/31936	1	readability	2022-08-05 10:36:33	Renamed a few variables to better convey their properties (e.g. `specs` -> `concrete_specs`)  	specs = spack.cmd.parse_specs(args.spec, concretize=True, tests=tests)	concrete_specs = spack.cmd.parse_specs(             args.spec, concretize=True, tests=install_kwargs["tests"]         )	Improve Naming
49	https://github.com/JulianFrattini/cira/pull/74	2	readability	2023-11-20 15:37:09	parts of the code were refactored to improve its readability.	double_negative = (len(causes) == 1) and (causes[0].is_negated())	            is_double_negative = (len(causes) == 1) and (causes[0].is_negated())	Improve Naming
50	https://github.com/openwisp/openwisp-radius/pull/134	8	readability	2020-07-21 19:43:06	Improve readability + formatting	u = User.objects.filter(username='socialuser').first()	user = User.objects.filter(username='socialuser').first()	Improve Naming
51	https://github.com/PaiGramTeam/PaiGram/pull/628	1	readability	2023-08-21 09:17:15	Integrated task exception handling directly within the task function. 	await message.edit_text(                 "\n".join(message.text_html.split("\n")[:2] + ["图标素材下载完成!"]), parse_mode=ParseMode.HTML             )	notice_text = "图标素材下载完成"  await message.edit_text(notice_text)	Extract Variable
52	https://github.com/JulianFrattini/cira/pull/74	2	readability	2023-11-20 15:37:09	parts of the code were refactored to improve its readability.	double_negative = (len(causes) == 1) and (causes[0].is_negated())             edge = effect.add_incoming(child=cause_root, negated=(effect.is_negated() != double_negative))	            is_double_negative = (len(causes) == 1) and (causes[0].is_negated())             is_negated=effect.is_negated() != is_double_negative             edge = effect.add_incoming(child=cause_root, negated=is_negated)	Extract Variable
