ID,Human Label,Response.txt,Match
1,Improve Naming,Improve Naming,YES
2,Improve Naming,Improve Naming,YES
3,Improve Naming,Improve Naming,YES
4,Improve Naming,Improve Naming,YES
5,Improve Naming,Improve Naming,YES
6,Improve Naming,Improve Naming,YES
7,Improve Naming,Improve Naming,YES
8,Improve Naming,Improve Naming,YES
9,Improve Naming,Improve Naming,YES
10,Improve Naming,Improve Naming,YES
11,Improve Naming,Improve Naming,YES
12,Improve Naming,Improve Naming,YES
13,Improve Naming,Improve Naming,YES
14,Improve Naming,Improve Naming,YES
15,Improve Naming,Improve Naming,YES
16,Improve Naming,Improve Naming,YES
17,Improve Naming,Improve Naming,YES
18,Improve Naming,Improve Naming,YES
19,Improve Naming,Improve Naming,YES
20,Improve Naming,Improve Naming,YES
21,Improve Naming,Improve Naming,YES
22,Improve Naming,Improve Naming,YES
23,Improve Naming,Improve Naming,YES
24,Improve Naming,Improve Naming,YES
25,Improve Naming,Improve Naming,YES
26,Improve Naming,Improve Naming,YES
27,Improve Naming,Improve Naming,YES
28,Improve Naming,Improve Naming,YES
29,Improve Naming,Improve Naming,YES
30,Improve Naming,Improve Naming,YES
31,Improve Naming,Improve Naming,YES
32,Improve Naming,Improve Naming,YES
33,Improve Naming,Improve Naming,YES
34,Improve Naming,Improve Naming,YES
35,Improve Naming,Improve Naming,YES
36,Improve Naming,Improve Naming,YES
37,Improve Naming,Improve Naming,YES
38,Improve Naming,Improve Naming,YES
39,Improve Naming,Improve Naming,YES
40,Improve Naming,Improve Naming,YES
41,Improve Naming,Improve Naming,YES
42,Improve Naming,Improve Naming,YES
43,Improve Naming,Improve Naming,YES
44,Improve Naming,Improve Naming,YES
45,Improve Naming,Improve Naming,YES
46,Improve Naming,Improve Naming,YES
47,Improve Naming,Improve Naming,YES
48,Improve Naming,Improve Naming,YES
49,Improve Naming,Improve Naming,YES
50,Improve Naming,Improve Naming,YES
51,Extract Variable,Extract Variable,YES
52,Extract Variable,Extract Variable,YES
53,Extract Variable,Extract Variable,YES
54,Extract Variable,Replace Generic with Specialized API,NO
55,Extract Variable,Extract Variable,YES
56,Extract Variable,Extract Variable,YES
57,Extract Variable,Extract Variable,YES
58,Simplify Object Construction and Conversion,Simplify Object Construction and Conversion,YES
59,Extract Variable,Extract Variable,YES
60,Extract Variable,Extract Variable,YES
61,Extract Variable,Improve Naming,NO
62,Extract Variable,Extract Variable,YES
63,Extract Variable,Extract Variable,YES
64,Extract Variable,Extract Variable,YES
65,Extract Variable,Extract Variable,YES
66,Include type hints and name parameters,Include type hints and name parameters,YES
67,Clarify Positional Indexing,Clarify Positional Indexing,YES
68,Include type hints and name parameters,Include type hints and name parameters,YES
69,Include type hints and name parameters,Include type hints and name parameters,YES
70,Include type hints and name parameters,Include type hints and name parameters,YES
71,Include type hints and name parameters,Include type hints and name parameters,YES
72,Include type hints and name parameters,Include type hints and name parameters,YES
73,Include type hints and name parameters,Include type hints and name parameters,YES
74,Include type hints and name parameters,Include type hints and name parameters,YES
75,Include type hints and name parameters,Include type hints and name parameters,YES
76,Include type hints and name parameters,Include type hints and name parameters,YES
77,Clarify Positional Indexing,Clarify Positional Indexing,YES
79,Prefer Positive Conditions,Prefer Positive Conditions,YES
80,Prefer Positive Conditions,Prefer Positive Conditions,YES
81,Prefer Positive Conditions,Prefer Positive Conditions,YES
82,Prefer Positive Conditions,Prefer Positive Conditions,YES
83,Prefer Positive Conditions,Prefer Positive Conditions,YES
84,Prefer Positive Conditions,Prefer Positive Conditions,YES
85,Prefer Positive Conditions,Prefer Positive Conditions,YES
86,Prefer Positive Conditions,Prefer Positive Conditions,YES
87,Prefer Positive Conditions,Prefer Positive Conditions,YES
88,Prefer Positive Conditions,Simplify Object Construction and Conversion,NO
89,Prefer Positive Conditions,Prefer Positive Conditions,YES
90,Replace Generic with Specialized API,Prefer Built-in methods,NO
91,Prefer Built-in methods,Prefer Built-in methods,YES
93,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
94,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
95,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
96,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
97,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
98,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
99,Replace Generic with Specialized API,Prefer Built-in methods,NO
100,Replace Generic with Specialized API,Replace Generic with Specialized API,YES
101,Extract Literals to Constants,Extract Literals to Constants,YES
102,Extract Literals to Constants,Extract Literals to Constants,YES
103,Extract Literals to Constants,Extract Literals to Constants,YES
104,Extract Literals to Constants,Extract Variable,NO
105,Extract Literals to Constants,Extract Literals to Constants,YES
106,Extract Literals to Constants,Group Related Values into Named Structures,NO
107,Extract Literals to Constants,Extract Variable,NO
109,Clarify Test Intent,Clarify Test Intent,YES
110,Clarify Test Intent,Include type hints and name parameters,NO
111,Clarify Test Intent,Clarify Test Intent,YES
112,Clarify Test Intent,Clarify Test Intent,YES
113,Clarify Test Intent,Prefer Idiomatic Iteration,NO
114,Improve Regex,Improve Regex,YES
115,Improve Regex,Improve Regex,YES
116,Improve Regex,Improve Regex,YES
117,Improve Regex,Extract Literals to Constants,NO
118,Include Modifiers and Annotations,Include type hints and name parameters,NO
119,Encapsulate Private Logic,Encapsulate Private Logic,YES
120,Encapsulate Private Logic,Encapsulate Private Logic,YES
121,Encapsulate Private Logic,Encapsulate Private Logic,YES
122,Encapsulate Private Logic,Encapsulate Private Logic,YES
123,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
124,Include Modifiers and Annotations,Include Modifiers and Annotations,YES
125,Include Modifiers and Annotations,Include type hints and name parameters,NO
126,Clarify Numeric Constants,Clarify Numeric Constants,YES
127,Clarify Numeric Constants,Clarify Numeric Constants,YES
128,Clarify Numeric Constants,Clarify Numeric Constants,YES
129,Replace Lookup with Dict,Replace Lookup with Dict,YES
130,Replace Lookup with Dict,Replace Lookup with Dict,YES
131,Replace Lookup with Dict,Replace Lookup with Dict,YES
132,Clarify Positional Indexing,Clarify Positional Indexing,YES
133,Clarify Positional Indexing,Clarify Positional Indexing,YES
134,Clarify Positional Indexing,Clarify Positional Indexing,YES
135,Prefer Specific Exception Handling,Prefer Specific Exception Handling,YES
136,Prefer Specific Exception Handling,Prefer Specific Exception Handling,YES
137,Prefer Specific Exception Handling,Prefer Specific Exception Handling,YES
138,Inline Temporary Variable,Inline Temporary Variable,YES
139,Inline Temporary Variable,Inline Temporary Variable,YES
140,Extract Field into Local Variable,Extract Field into Local Variable,YES
141,Extract Field into Local Variable,Extract Variable,NO
142,Include type hints and name parameters,Include type hints and name parameters,YES
144,Add Parentheses for Clarity,Add Parentheses for Clarity,YES
145,Add Parentheses for Clarity,Clarify Positional Indexing,NO
146,Apply Early Return,Apply Early Return,YES
147,Break Complex Ternary Expressions,Break Complex Ternary Expressions,YES
148,Extract Constants into Local Variables,Extract Constants into Local Variables,YES
149,Replace Duck Typing with Explicit Type Check,Replace Duck Typing with Explicit Type Check,YES
151,Extract Lambda into a Named Function,Extract Lambda into a Named Function,YES
152,Clarify Test Intent,Simplify Object Construction and Conversion,NO
153,Improve codacy,Improve codacy,YES
154,Replace Lookup with Dict,Replace Lookup with Dict,YES
156,Group Related Values into Named Structures,Group Related Values into Named Structures,YES
157,Add Default Argument,Add Default Argument,YES
158,Improve String Formatting,Improve String Formatting,YES
159,Improve String Formatting,Improve String Formatting,YES
160,Improve String Formatting,Improve String Formatting,YES
161,Improve String Formatting,Improve String Formatting,YES
162,Improve String Formatting,Improve String Formatting,YES
163,Improve String Formatting,Improve String Formatting,YES
164,Improve String Formatting,Improve String Formatting,YES
165,Improve String Formatting,Improve String Formatting,YES
166,Improve String Formatting,Improve String Formatting,YES
167,Improve String Formatting,Improve String Formatting,YES
168,Improve String Formatting,Improve String Formatting,YES
169,Improve String Formatting,Improve String Formatting,YES
170,Improve String Formatting,Improve String Formatting,YES
171,Improve String Formatting,Improve String Formatting,YES
172,Improve String Formatting,Improve String Formatting,YES
173,Improve String Formatting,Improve String Formatting,YES
174,Improve String Formatting,Improve String Formatting,YES
175,Improve String Formatting,Improve String Formatting,YES
176,Improve String Formatting,Improve String Formatting,YES
177,Improve String Formatting,Improve String Formatting,YES
178,Improve String Formatting,Improve String Formatting,YES
179,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
180,Reduce Conditional Nesting,Extract Method from Large Function,NO
181,Reduce Conditional Nesting,Extract Variable,NO
182,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
183,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
185,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
186,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
187,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
188,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
189,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
190,Reduce Conditional Nesting,Reduce Conditional Nesting,YES
191,Unwrap unnecessary else,Unwrap unnecessary else,YES
192,Unwrap unnecessary else,Unwrap unnecessary else,YES
193,Unwrap unnecessary else,Unwrap unnecessary else,YES
194,Unwrap unnecessary else,Unwrap unnecessary else,YES
195,Unwrap unnecessary else,Unwrap unnecessary else,YES
196,Unwrap unnecessary else,Unwrap unnecessary else,YES
197,Unwrap unnecessary else,Unwrap unnecessary else,YES
198,Collapse Boolean Return,Collapse Boolean Return,YES
199,Unwrap unnecessary else,Unwrap unnecessary else,YES
200,Prefer Idiomatic Conditions,Prefer Idiomatic Conditions,YES
201,Prefer Idiomatic Conditions,Prefer Idiomatic Conditions,YES
202,Prefer Idiomatic Conditions,Remove Unused Method/ chunk of code,NO
203,Prefer Idiomatic Conditions,Prefer Idiomatic Conditions,YES
206,Prefer Idiomatic Conditions,Prefer Idiomatic Conditions,YES
207,Prefer Idiomatic Conditions,Prefer Idiomatic Conditions,YES
208,Add Parentheses for Clarity,Add Parentheses for Clarity,YES
209,Prefer Idiomatic Iteration,Reduce Conditional Nesting,NO
210,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
211,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
212,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
213,Prefer Idiomatic Iteration,Prefer Idiomatic Iteration,YES
214,Simplify Object Construction and Conversion,Prefer Built-in methods,NO
215,Simplify Object Construction and Conversion,Prefer Built-in methods,NO
216,Remove Duplicate Code,Remove Duplicate Code,YES
217,Replace Lookup with Dict,Replace Lookup with Dict,YES
