stars,pullRequests,collaborators
1158,141,24
31299,4256,384
43,2,1
1094,3734,154
1931,340,134
1928,3291,203
2807,1397,220
13460,8381,359
13612,41226,338
13690,12777,357
40945,7837,401
1641,2920,338
24816,26508,279
2299,7898,126
1466,3696,154
15060,7638,301
5698,5771,256
5754,9846,374
5760,14330,277
1180,2587,106
30007,19605,350
2948,3119,316
907,8187,233
2852,1550,235
5757,12671,366
14593,16294,363
533,276,59
21732,4368,332
824,1706,132
20212,23459,318
415,1464,73
29464,1750,164
10603,497,57
76,555,14
3449,2137,170
2472,33614,363
126,1274,57
1232,8523,54
48,1111,10
1437,7722,129
8569,11300,376
105,6707,79
924,406,37
48,1040,25
649,3162,55
4233,15536,92
3406,2606,171
1585,314,23
14023,4435,72
417,1208,41
45,1082,26
2518,1273,110
752,1512,58
50,243,26
834,2308,316
236,381,29
72533,88011,344
10,148,5
441,4043,78
3499,4107,326
313,132,29
2368,4581,142
2131,319,119
1782,1739,64
264,428,40
4024,8510,288
54,497,41
77,278,23
17793,19029,341
5852,1531,110
6177,2184,222
11708,8333,357
2113,3646,242
6347,17742,286
69,1497,21
691,157,2
734,1013,81
1616,5576,215
431,2770,58
92091,2303,404
4322,921,54
10612,243,44
5487,2737,153
111,2843,142
2735,1834,177
508,355,51
23905,10551,296
94,258,40
419,659,54
246,795,82
128,347,73
210,287,39
3974,1418,148
44,3836,85
86,2903,58
5001,5026,313
2106,5536,315
116,656,7
316,3396,93
139,3489,75
168,494,10
5027,3775,123
659,1163,97
15200,1884,295
3728,3181,270
2483,502,30
34187,8461,360
1483,813,79
10,232,17
275,611,29
72,624,62
stars,pullRequests,collaborators
14,605,22
72,563,47
11297,4018,346
37,857,25
178,1804,52
10586,11271,343
1317,273,19
300,109,23
16316,18063,329
1192,9878,61
18,2311,19
170,246,97
834,2941,62
4819,6732,154
223,973,17
4973,7837,360
1346,1060,30
1545,1366,94
584,831,83
152,844,43
4915,1102,207
824,1577,125
5214,6353,265
76,247,16
10,9,5
1708,6116,365
33652,2231,307
2022,1340,206
61500,4856,429
54,3598,9
11228,17866,332
1069,5063,137
3657,1728,180
127,186,50
81,729,23
98,2281,125
123,6598,245
57,2464,60
