stars,pullRequests,collaborators
20,180,3
29,659,28
21,52,21
58,29,6
32,56,4
17522,36099,387
50589,4754,248
750,380,47
111,56,5
122,590,56
32,114,25
234,3874,91
39175,31901,414
877,1389,154
4606,11569,439
3007,4780,153
352,583,59
674,442,50
8863,1529,168
431,660,22
191,379,41
11619,4181,295
4596,298,50
482,13671,98
2996,1956,83
37,839,11
1811,3142,132
8572,6448,403
155,210,14
23,229,5
990,19088,379
578,431,17
37442,3227,365
19,177,6
504,35878,147
19,586,20
113,6352,86
10384,4511,305
13762,5069,287
17,2111,32
164,359,46
481,714,51
111,6451,62
40,346,10
518,30,3
5867,3539,270
29,103,10
354,589,51
263,3195,200
116,198,10
37257,6364,300
1474,13224,268
395,8984,84
787,2841,47
4660,1734,225
25,73,9
40289,71013,335
25,7,3
329,533,39
796,196,60
5360,3890,92
955,374,35
1133,751,20
235,1437,31
39,318,9
10256,8869,391
113,1160,28
116,1525,29
84,951,16
409,367,12
217,1064,39
14,249,11
77116,81756,411
1289,381,58
17767,1133,213
141280,19357,436
48,5967,21
30,121,16
364,915,53
1354,3514,217
6652,381,70
31653,18071,391
486,288,23
1221,155,40
230,31,6
11,51,2
427,473,104
62695,7896,406
1027,1442,95
1534,796,131
51586,4569,231
25,978,18
828,705,49
2936,327,27
29128,10394,437
12,115,6
5287,1155,82
306,808,38
10,474,29
67,117,8
22895,712,258
30635,2347,407
20879,18965,420
49,347,42
14,7,3
16,744,17
5570,39,5
16,1457,21
302,186,27
19776,10543,452
49,76,10
1025,27,5
26,242,5
15497,4045,439
3114,1505,38
1715,466,79
151,37,9
207,209,26
32,199,18
8708,1333,160
16120,375,102
35596,1459,364
16,173,6
14,21,6
21,24,15
6843,1154,169
251,97,21
377,351,41
5990,12238,390
260,4137,35
39,1548,37
88,781,18
44852,33816,409
3450,15891,348
2524,5675,188
65,267,24
48,21,4
11353,6072,251
8830,1628,234
18,54,7
922,203,36
77,153,68
9688,5737,396
12537,6267,370
65788,59051,349
16660,5529,448
91,124,20
7661,64,13
16,100,11
19918,1314,102
15,157,7
147,11,9
1687,509,44
142,987,77
17,514,13
19,6,3
869,2116,46
6198,4627,356
61426,18481,409
13448,11990,417
23,558,104
36,89,9
287,2893,93
372,1237,27
525,2803,310
4588,40367,409
739,1724,22
8665,3532,387
638,510,36
38175,5760,241
22,380,6
17,585,11
100,3,2
198403,10462,454
10206,710,163
23,61,4
3767,1530,95
8896,3959,129
5885,273,37
586,173,17
10334,446,42
1255,2061,74
33,93,8
41539,7167,447
2942,1027,67
3536,89,16
74,53,13
9623,6054,188
155,219,24
205,139,8
91,386,39
