rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S4143,18,18,CLEAR,Verify this is the key that was intended; it was already set before.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,24,24,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,28,28,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,32,32,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,36,36,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,40,40,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,47,47,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,50,50,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,54,54,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,56,56,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,60,60,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,62,62,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,67,67,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,71,71,MODULAR,Replace this use of System.out by a logger.,null,
