rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1192,34,34,DISTINCT,Define a constant instead of duplicating this literal " Value = " 3 times.,null,
java:S106,34,34,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,62,62,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,64,64,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,77,77,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,88,88,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,99,99,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,109,109,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,119,119,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,129,129,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,135,135,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,139,139,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,143,143,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,147,147,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,152,152,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,155,155,MODULAR,Replace this use of System.out by a logger.,null,
