rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1700,19,19,IDENTIFIABLE,Rename field "myRobot",null,
java:S127,476,476,CLEAR,Refactor the code in order to not assign to this loop counter from within the loop body.,null,
java:S127,497,497,CLEAR,Refactor the code in order to not assign to this loop counter from within the loop body.,null,
java:S1450,36,36,CLEAR,Remove the "blue" field and declare it as a local variable in the relevant methods.,null,
java:S1450,35,35,CLEAR,Remove the "green" field and declare it as a local variable in the relevant methods.,null,
java:S1450,30,30,CLEAR,Remove the "lastX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,31,31,CLEAR,Remove the "lastY" field and declare it as a local variable in the relevant methods.,null,
java:S1450,34,34,CLEAR,Remove the "red" field and declare it as a local variable in the relevant methods.,null,
java:S1450,32,32,CLEAR,Remove the "savedX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,33,33,CLEAR,Remove the "savedY" field and declare it as a local variable in the relevant methods.,null,
java:S1450,20,20,CLEAR,Remove the "screen" field and declare it as a local variable in the relevant methods.,null,
java:S1450,23,23,CLEAR,Remove the "windowX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,24,24,CLEAR,Remove the "windowY" field and declare it as a local variable in the relevant methods.,null,
java:S106,136,136,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,163,163,MODULAR,Replace this use of System.out by a logger.,null,
java:S1479,167,167,FOCUSED,Reduce the number of non-empty switch cases from 33 to at most 30.,null,
java:S106,273,273,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,289,289,MODULAR,Replace this use of System.out by a logger.,null,
java:S2142,360,360,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S3776,414,414,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,null,
java:S106,451,451,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,460,460,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,467,467,MODULAR,Replace this use of System.out by a logger.,null,
java:S3776,505,505,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,null,
java:S1854,506,506,LOGICAL,Remove this useless assignment to local variable "initX".,null,
java:S1068,23,23,CLEAR,Remove this unused "windowX" private field.,null,
java:S1068,24,24,CLEAR,Remove this unused "windowY" private field.,null,
java:S1068,30,30,CLEAR,Remove this unused "lastX" private field.,null,
java:S1068,31,31,CLEAR,Remove this unused "lastY" private field.,null,
java:S1068,32,32,CLEAR,Remove this unused "savedX" private field.,null,
java:S1068,33,33,CLEAR,Remove this unused "savedY" private field.,null,
java:S1068,43,43,CLEAR,Remove this unused "drawPanel" private field.,null,
java:S1068,44,44,CLEAR,Remove this unused "bufImg" private field.,null,
java:S1068,45,45,CLEAR,Remove this unused "rect" private field.,null,
