rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1700,18,18,IDENTIFIABLE,Rename field "myRobot",null,
java:S1450,35,35,CLEAR,Remove the "blue" field and declare it as a local variable in the relevant methods.,null,
java:S1450,34,34,CLEAR,Remove the "green" field and declare it as a local variable in the relevant methods.,null,
java:S1450,29,29,CLEAR,Remove the "lastX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,30,30,CLEAR,Remove the "lastY" field and declare it as a local variable in the relevant methods.,null,
java:S1450,33,33,CLEAR,Remove the "red" field and declare it as a local variable in the relevant methods.,null,
java:S1450,31,31,CLEAR,Remove the "savedX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,32,32,CLEAR,Remove the "savedY" field and declare it as a local variable in the relevant methods.,null,
java:S1450,19,19,CLEAR,Remove the "screen" field and declare it as a local variable in the relevant methods.,null,
java:S1450,22,22,CLEAR,Remove the "windowX" field and declare it as a local variable in the relevant methods.,null,
java:S1450,23,23,CLEAR,Remove the "windowY" field and declare it as a local variable in the relevant methods.,null,
java:S106,172,172,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,186,186,MODULAR,Replace this use of System.out by a logger.,null,
java:S1871,200,205,DISTINCT,This branch's code block is the same as the block for the branch on line 191.,null,
java:S106,381,381,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,390,390,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,397,397,MODULAR,Replace this use of System.out by a logger.,null,
java:S3776,437,437,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,null,
java:S1068,22,22,CLEAR,Remove this unused "windowX" private field.,null,
java:S1068,23,23,CLEAR,Remove this unused "windowY" private field.,null,
java:S1068,29,29,CLEAR,Remove this unused "lastX" private field.,null,
java:S1068,30,30,CLEAR,Remove this unused "lastY" private field.,null,
java:S1068,31,31,CLEAR,Remove this unused "savedX" private field.,null,
java:S1068,32,32,CLEAR,Remove this unused "savedY" private field.,null,
java:S1068,45,45,CLEAR,Remove this unused "drawPanel" private field.,null,
java:S1068,46,46,CLEAR,Remove this unused "bufImg" private field.,null,
java:S1068,47,47,CLEAR,Remove this unused "rect" private field.,null,
