rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,9,9,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,10,10,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,11,11,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,12,12,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,13,13,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,14,14,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,15,15,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,17,17,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,20,20,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,23,23,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,35,35,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,46,46,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,50,50,MODULAR,Replace this use of System.out by a logger.,null,
