rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,36,36,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,45,45,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,54,54,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,60,60,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,73,73,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,77,77,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,80,80,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,83,83,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,86,86,MODULAR,Replace this use of System.out by a logger.,null,
