rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,33,33,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,39,39,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,42,42,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,48,48,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,57,57,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,70,70,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,74,74,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,77,77,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,80,80,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,83,83,MODULAR,Replace this use of System.out by a logger.,null,
