rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,28,28,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,98,98,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,100,100,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,102,102,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,104,104,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,106,106,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,108,108,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,110,110,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,112,112,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,117,117,MODULAR,Replace this use of System.err by a logger.,null,
