rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S106,19,19,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,27,27,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,31,31,MODULAR,Replace this use of System.err by a logger.,null,
java:S2142,43,43,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,42,42,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,44,44,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,56,56,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,57,57,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,82,82,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,93,93,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,95,95,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,97,97,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,106,106,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,110,110,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,113,113,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,121,121,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,127,127,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,133,133,MODULAR,Replace this use of System.out by a logger.,null,
