rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S135,120,120,FOCUSED,Reduce the total number of break and continue statements in this loop to use at most one.,null,
java:S106,81,81,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,83,83,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,89,89,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,108,108,MODULAR,Replace this use of System.err by a logger.,null,
java:S3776,119,119,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.,null,
java:S3626,184,184,CLEAR,Remove this redundant jump.,null,
java:S106,139,139,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,150,150,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,161,161,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,167,167,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,169,169,MODULAR,Replace this use of System.err by a logger.,null,
java:S2142,277,277,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,202,202,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,209,209,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,214,214,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,221,221,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,227,227,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,236,236,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,237,237,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,244,244,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,249,249,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,255,255,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,260,260,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,265,265,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,270,270,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,275,275,MODULAR,Replace this use of System.out by a logger.,null,
