snippet_id,Gemini,stackoverflow,chatgpt,chatgpt2025,deepseek
2,,java:S3740,java:S1854,,
3,,"java:S1192,java:S1481,java:S1854",,,
4,,java:S108,,,
5,"java:S1481,java:S1854",,"java:S125,java:S1481,java:S1854,java:S2094","java:S1481,java:S1854","java:S1481,java:S1854"
6,java:S2140,,,java:S1068,java:S1068
7,,,,,
8,"java:S1066,java:S1068,java:S1192,java:S135,java:S3457,java:S3776",,java:S135,,
9,,"java:S1488,java:S1854",,,java:S1854
10,,,java:S1117,,
11,"java:S112,java:S4719","java:S1068,java:S1124,java:S1488,java:S4719",,java:S112,java:S112
12,"java:S1126,java:S1192","java:S1197,java:S131",java:S1659,,java:S1126
13,"java:S1481,java:S1854",java:S1125,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
14,,,,,
15,,"java:S1481,java:S1854","java:S1481,java:S1854",,
16,java:S1192,java:S1604,,java:S1161,java:S1161
17,,,,,
18,,"java:S1481,java:S1854",,,
19,,"java:S1481,java:S1854",,,
20,,,,,"java:S1481,java:S1854"
21,,,,,
22,,,,,
23,"java:S1481,java:S1854,java:S3740","java:S1481,java:S1854",,"java:S1481,java:S1854","java:S1481,java:S1854"
24,,,,,
25,java:S1192,"java:S1481,java:S1854",,,
26,java:S4925,"java:S100,java:S1192,java:S1659,java:S1854,java:S2293,java:S4925",java:S4925,,
27,java:S3012,java:S1854,java:S3012,,
28,java:S3776,"java:S1481,java:S1604,java:S1854",,java:S1141,
29,java:S1450,"java:S1161,java:S1172,java:S1301,java:S1604",,java:S1161,"java:S1161,java:S1450"
30,java:S1186,java:S2094,"java:S1068,java:S1481,java:S1854",,java:S1186
31,,,,,
32,,,,,java:S1700
33,,"java:S2293,java:S3012,java:S3740,java:S3776","java:S1130,java:S1604",java:S1130,
34,,"java:S1481,java:S1854,java:S2130",,,
35,,java:S117,,java:S125,
36,java:S117,"java:S1068,java:S2293",,,
37,,,,,
38,"java:S2094,java:S2326",,java:S2293,"java:S2094,java:S2326","java:S1068,java:S2326"
39,,"java:S125,java:S1481,java:S1854,java:S3252",java:S3252,,"java:S1192,java:S1481,java:S1854"
40,,,,,
41,"java:S1905,java:S3457",java:S1144,,,java:S3457
42,,,,,
43,,,,java:S1161,java:S1161
44,,,,,
45,,"java:S125,java:S1481,java:S1854",,,
46,java:S2209,"java:S1481,java:S1854,java:S2094,java:S2440","java:S1481,java:S1854,java:S2440",,
47,,"java:S1481,java:S1854",,,
48,"java:S1481,java:S1854","java:S1481,java:S1854,java:S3740",java:S1604,java:S1604,"java:S1481,java:S1854"
49,,,,,
50,,,java:S1068,,java:S1068
51,java:S1192,,,java:S1192,"java:S1192,java:S1481,java:S1854"
52,,,,"java:S1161,java:S2387",java:S2387
53,,"java:S1481,java:S1854","java:S1481,java:S1854",java:S125,
54,,,,,
55,,java:S1066,,,"java:S1481,java:S1854"
56,,"java:S1481,java:S1854",,java:S1192,java:S1192
57,,"java:S1659,java:S3740",,,"java:S1481,java:S1854"
58,,,"java:S1481,java:S1854",,
59,,"java:S108,java:S1481,java:S1854",java:S2293,,
60,,,"java:S1604,java:S2293",,
61,,java:S1197,,,"java:S1481,java:S1854"
62,,,,,
63,java:S1192,"java:S1066,java:S1116,java:S125",,java:S1192,java:S127
64,,java:S3740,java:S2293,,
65,,"java:S1481,java:S1854",,,
66,,"java:S1481,java:S1854,java:S2293,java:S3740",java:S2293,,
67,,"java:S1481,java:S1854,java:S2293",,,
68,,java:S1604,,"java:S1481,java:S1854","java:S1481,java:S1854"
69,,,,,"java:S1481,java:S1854"
70,,"java:S117,java:S1481,java:S1854",,,
71,,"java:S125,java:S1481,java:S1854",,,
72,,"java:S1481,java:S1854",,,
73,,,,,
74,,java:S2293,,java:S1068,
75,,"java:S1197,java:S1481,java:S1854,java:S3740","java:S1481,java:S1854",,"java:S1481,java:S1854"
76,java:S125,java:S1124,,,
77,,,,,
78,,,,,
79,,,,,
80,,"java:S117,java:S2129",,,
81,,"java:S1481,java:S1854",,,
82,,,,,
83,,java:S3740,,,
84,"java:S1144,java:S125",,,,
85,,"java:S117,java:S125",,,java:S125
86,,,,,
87,java:S1192,,,,
88,java:S2234,"java:S100,java:S108,java:S117,java:S1444,java:S1659,java:S2234,java:S3008","java:S1659,java:S2234",java:S2234,java:S2234
89,,,,,
90,,,"java:S1481,java:S1854",,"java:S1481,java:S1854"
91,,java:S1854,,,java:S1068
92,,"java:S117,java:S1488",,,
93,java:S1192,java:S1659,,java:S1659,
94,"java:S125,java:S1481,java:S1854","java:S1450,java:S3740,java:S4977",java:S1161,,
95,,java:S2293,,"java:S1481,java:S1854",
96,,"java:S1481,java:S1854,java:S2129",,,
97,"java:S112,java:S125","java:S1192,java:S4719",,java:S1481,
98,,,,,
99,,,,,
100,,,java:S1192,,"java:S1481,java:S1854"
101,,java:S2293,,,
102,,,,,
103,,java:S1186,,,
104,"java:S1481,java:S1854",,,,
105,,java:S2293,,,
106,,,,,
107,,,,,
108,,,"java:S1481,java:S1854","java:S1659,java:S3457,java:S3776",java:S1068
109,java:S125,,,,
110,,,,,"java:S1481,java:S1854"
111,,"java:S1602,java:S1611",,,
112,,java:S2129,,,
113,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
114,,"java:S1481,java:S1854","java:S1481,java:S1488,java:S1854",,
115,java:S1192,java:S6213,,,
116,,,,,
117,,,,,
118,java:S1192,"java:S1481,java:S1854,java:S2293",,,
119,,"java:S101,java:S1444",,,
120,,"java:S1481,java:S1854",,,"java:S1481,java:S1854"
121,,"java:S117,java:S4719",,,
122,,"java:S1481,java:S1854",,,
123,,java:S2293,,,"java:S1481,java:S1854"
124,java:S6353,java:S6353,,,
125,,java:S1197,,,
126,,"java:S1481,java:S1854",,"java:S1481,java:S1854",
127,,,,,
128,,"java:S1481,java:S1854,java:S3740",,,
129,java:S3252,java:S3252,java:S3252,java:S3252,java:S3252
130,,,,,
131,"java:S1481,java:S1854",,,"java:S1481,java:S1854","java:S1481,java:S1854"
132,,,,,
133,java:S125,"java:S108,java:S116,java:S1192,java:S1197,java:S125,java:S127,java:S1301,java:S131,java:S1479,java:S1604,java:S1659,java:S1700,java:S1854,java:S2140,java:S2293,java:S3776,java:S6541",,,java:S125
134,,,,,
135,,java:S7158,,,
136,,java:S1186,,,
137,,"java:S1192,java:S2293",java:S1161,,
138,,,,java:S1612,java:S1612
139,java:S3252,java:S1144,java:S3252,,
140,,,,,
141,,"java:S125,java:S1659",,java:S1659,
142,,,java:S1488,,
143,,java:S2293,,,
144,"java:S1481,java:S1854",,,,"java:S1481,java:S1854"
145,,,,,
146,,"java:S1481,java:S1854","java:S1192,java:S1602",java:S1602,java:S1602
147,,java:S3626,"java:S1481,java:S1602,java:S1854",,
148,"java:S1481,java:S1854","java:S1481,java:S1854","java:S117,java:S1481,java:S1854",,"java:S125,java:S1481,java:S1854"
149,,"java:S1068,java:S1116,java:S115,java:S3010",java:S1659,,java:S1192
150,java:S117,"java:S117,java:S2293",java:S2293,,
151,,"java:S117,java:S3740",,"java:S1481,java:S1854","java:S1481,java:S1854"
152,,,,,
153,,"java:S2293,java:S3740",,,
154,,"java:S1481,java:S1854","java:S1481,java:S1854",,
155,,,,,
156,,,,,
157,java:S6213,"java:S1481,java:S1854",,,java:S6213
158,,"java:S1481,java:S1854","java:S1192,java:S1481,java:S1854","java:S1068,java:S1481,java:S1854","java:S1481,java:S1854"
159,,"java:S1481,java:S1854","java:S1481,java:S1854,java:S1905","java:S1481,java:S1854","java:S1481,java:S1854"
160,,"java:S1481,java:S1854",,,java:S125
161,,,,,
162,java:S3012,java:S116,java:S3012,java:S3012,"java:S1481,java:S1854"
163,,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
164,,"java:S1604,java:S2293",,,
165,,,,,
166,,,,,
167,,,,"java:S1481,java:S1854",
168,,"java:S1481,java:S1854",java:S125,"java:S1481,java:S1854",
169,java:S125,,,,
170,,"java:S1481,java:S1854,java:S4719",,,
171,,,,,"java:S1481,java:S1854"
172,,,java:S1602,"java:S1481,java:S1854","java:S1481,java:S1854"
