query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
100_deepseek,2,2,0,2
103_stackoverflow,1,1,0,0
104_gemini,2,0,0,0
108_chatgpt,2,0,0,0
108_chatgpt2025,1,0,0,0
108_deepseek,1,1,1,0
109_gemini,1,1,0,0
11_stackoverflow,1,1,0,0
110_deepseek,2,1,1,1
113_chatgpt,2,2,2,2
113_chatgpt2025,2,1,0,1
113_deepseek,2,1,0,0
113_gemini,2,1,1,0
113_stackoverflow,2,1,1,1
114_chatgpt,2,0,0,0
114_stackoverflow,2,2,0,2
118_stackoverflow,2,0,0,0
120_deepseek,2,0,0,0
120_stackoverflow,2,0,0,0
122_stackoverflow,2,0,0,2
123_deepseek,2,2,2,2
126_chatgpt2025,2,0,0,0
126_stackoverflow,2,1,0,0
128_stackoverflow,2,1,2,0
13_chatgpt,2,0,0,0
13_chatgpt2025,2,0,0,0
13_deepseek,2,0,0,0
13_gemini,2,0,0,0
131_chatgpt2025,2,2,0,1
131_deepseek,2,2,0,3
131_gemini,2,1,0,1
133_deepseek,1,0,0,0
133_gemini,1,0,0,0
133_stackoverflow,3,3,2,2
136_stackoverflow,1,0,0,0
139_stackoverflow,1,1,1,1
141_stackoverflow,1,0,0,0
144_deepseek,2,0,0,0
144_gemini,2,0,0,0
146_stackoverflow,2,2,0,2
147_chatgpt,2,0,0,2
148_chatgpt,2,0,2,0
148_deepseek,3,1,1,1
148_gemini,2,1,1,1
148_stackoverflow,2,1,1,1
149_stackoverflow,2,0,0,0
15_chatgpt,2,0,0,0
15_stackoverflow,2,0,0,2
151_chatgpt2025,2,0,0,2
151_deepseek,2,0,0,0
154_chatgpt,2,2,0,0
154_stackoverflow,2,0,0,0
157_stackoverflow,2,0,0,0
158_chatgpt,2,0,2,0
158_chatgpt2025,3,0,0,0
158_deepseek,2,0,0,1
158_stackoverflow,2,0,0,0
159_chatgpt,2,2,2,2
159_chatgpt2025,2,2,2,2
159_deepseek,2,2,2,2
159_stackoverflow,2,1,0,1
160_deepseek,1,0,0,0
160_stackoverflow,2,0,0,1
162_deepseek,2,0,0,0
163_chatgpt,2,2,2,2
163_chatgpt2025,2,2,2,2
163_deepseek,2,0,0,1
163_stackoverflow,2,1,0,1
167_chatgpt2025,2,0,0,0
168_chatgpt,1,0,0,0
168_chatgpt2025,2,2,2,2
168_stackoverflow,2,1,0,1
169_gemini,1,1,0,1
170_stackoverflow,2,0,0,0
171_deepseek,2,2,0,0
172_chatgpt2025,2,0,0,0
172_deepseek,2,0,0,0
173_chatgpt,1,0,1,0
173_stackoverflow,1,0,0,0
174_stackoverflow,1,0,0,0
175_stackoverflow,2,0,0,0
176_chatgpt,1,0,0,0
176_gemini,1,0,0,0
176_stackoverflow,2,0,0,0
178_deepseek,3,0,0,0
178_stackoverflow,1,0,0,0
179_chatgpt,2,0,0,0
179_stackoverflow,2,2,0,0
18_stackoverflow,2,0,0,0
180_stackoverflow,2,0,0,0
181_chatgpt,1,2,0,2
182_chatgpt,2,2,2,2
182_stackoverflow,1,0,0,1
183_chatgpt,2,2,0,0
183_stackoverflow,2,0,2,0
185_gemini,2,0,0,0
186_gemini,1,1,0,0
188_stackoverflow,2,2,2,1
19_stackoverflow,2,0,0,0
190_chatgpt2025,2,1,1,1
190_deepseek,3,1,1,0
190_gemini,1,1,1,1
191_chatgpt,2,0,1,0
191_chatgpt2025,2,1,1,1
191_deepseek,2,1,1,1
194_chatgpt,2,0,0,0
194_deepseek,1,0,1,0
194_stackoverflow,1,2,2,0
195_chatgpt2025,2,0,0,1
195_deepseek,2,0,0,0
195_stackoverflow,2,0,0,0
197_chatgpt,2,1,2,1
197_chatgpt2025,2,1,1,1
197_deepseek,2,1,0,1
197_stackoverflow,3,2,1,0
198_gemini,1,0,0,0
198_stackoverflow,2,0,0,0
2_chatgpt,1,0,0,0
20_deepseek,2,0,0,2
202_chatgpt,2,0,0,0
202_stackoverflow,2,0,0,0
205_chatgpt,2,0,0,0
205_gemini,1,0,0,0
205_stackoverflow,1,2,2,2
207_chatgpt2025,2,1,0,1
210_gemini,1,1,0,0
210_stackoverflow,1,0,0,0
212_chatgpt,1,1,1,0
212_chatgpt2025,1,1,1,0
212_deepseek,2,0,0,0
212_stackoverflow,1,0,0,0
215_chatgpt2025,1,0,0,0
215_gemini,1,0,0,0
215_stackoverflow,2,0,0,0
217_chatgpt,1,2,2,0
217_gemini,1,0,0,0
217_stackoverflow,2,0,0,2
220_deepseek,2,1,1,1
220_gemini,2,1,1,1
221_gemini,3,0,0,0
222_deepseek,1,0,0,0
224_deepseek,2,0,0,0
225_deepseek,1,0,0,0
225_stackoverflow,1,1,0,0
226_chatgpt,2,0,2,0
226_chatgpt2025,2,0,0,0
226_deepseek,2,0,0,0
227_stackoverflow,2,2,2,2
228_chatgpt,2,2,0,2
228_stackoverflow,1,0,0,0
229_stackoverflow,1,0,0,0
23_chatgpt2025,2,0,0,0
23_deepseek,2,0,0,0
23_gemini,2,0,0,0
23_stackoverflow,2,2,0,0
231_deepseek,2,2,2,2
231_gemini,1,0,0,0
231_stackoverflow,1,0,0,0
232_chatgpt,2,0,2,2
233_chatgpt,2,0,0,1
236_stackoverflow,1,0,1,0
238_deepseek,1,0,0,0
240_gemini,1,0,0,0
240_stackoverflow,1,1,1,2
241_deepseek,2,0,0,0
242_chatgpt2025,1,0,2,0
242_stackoverflow,1,2,0,0
243_chatgpt,2,0,0,0
245_stackoverflow,1,0,0,0
247_gemini,2,0,0,0
248_deepseek,2,2,0,2
248_gemini,2,0,0,0
248_stackoverflow,2,2,2,2
249_stackoverflow,1,2,2,2
25_stackoverflow,2,0,0,0
250_stackoverflow,1,0,0,0
251_chatgpt,2,0,0,0
251_gemini,1,1,0,0
251_stackoverflow,2,0,0,0
252_chatgpt,2,0,0,0
252_deepseek,2,2,0,2
252_stackoverflow,2,0,0,0
254_deepseek,1,1,1,1
256_stackoverflow,2,0,0,0
257_deepseek,1,0,0,0
257_gemini,1,0,0,0
258_chatgpt,2,2,2,2
259_stackoverflow,1,0,0,0
26_chatgpt,1,0,0,0
26_gemini,1,0,0,0
26_stackoverflow,2,0,0,0
260_stackoverflow,2,1,2,0
261_chatgpt,2,0,0,0
262_stackoverflow,1,1,0,1
263_chatgpt,2,0,0,0
263_chatgpt2025,2,0,0,0
263_deepseek,2,2,2,2
264_chatgpt,1,1,0,1
266_gemini,2,0,0,0
266_stackoverflow,1,0,0,0
267_stackoverflow,2,1,0,0
268_stackoverflow,3,1,1,2
269_chatgpt,2,2,2,0
269_chatgpt2025,2,2,2,2
269_deepseek,2,2,2,0
269_gemini,1,0,0,0
269_stackoverflow,0,2,0,0
27_stackoverflow,1,0,2,0
271_chatgpt,1,1,1,0
271_chatgpt2025,1,0,0,0
271_deepseek,1,0,1,0
271_gemini,1,1,1,1
271_stackoverflow,0,2,0,0
273_chatgpt,2,0,0,3
273_chatgpt2025,2,0,0,3
273_deepseek,2,2,0,2
276_deepseek,1,0,0,0
276_stackoverflow,3,2,2,2
278_chatgpt2025,2,2,2,1
278_stackoverflow,2,0,0,2
28_stackoverflow,2,0,0,0
281_deepseek,2,0,0,0
283_chatgpt2025,1,2,2,0
284_deepseek,2,2,0,2
284_stackoverflow,4,0,0,0
285_gemini,1,0,0,0
286_gemini,1,0,0,0
287_chatgpt,2,0,0,0
287_stackoverflow,1,2,1,0
288_deepseek,1,0,0,0
288_gemini,1,1,1,1
29_stackoverflow,1,0,0,0
290_stackoverflow,2,0,0,0
293_stackoverflow,1,0,0,0
294_stackoverflow,2,0,0,0
297_deepseek,2,0,0,1
298_chatgpt,1,0,0,0
298_deepseek,1,0,0,0
299_chatgpt,2,1,1,1
299_chatgpt2025,2,1,1,1
299_deepseek,2,1,1,1
299_gemini,1,1,1,1
299_stackoverflow,1,1,2,1
3_stackoverflow,2,3,0,2
30_chatgpt,3,1,0,1
30_deepseek,1,0,0,0
30_gemini,1,0,0,0
