query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
108_chatgpt2025,1,0,0,0,corrected,corrected,corrected
133_stackoverflow,3,3,3,2,not_corrected,not_corrected,not_corrected
173_chatgpt,1,0,0,0,corrected,corrected,corrected
208_stackoverflow,1,0,0,0,corrected,corrected,corrected
215_gemini,1,0,0,0,corrected,corrected,corrected
217_chatgpt,1,0,0,0,corrected,corrected,corrected
218_gemini,1,0,0,0,corrected,corrected,corrected
242_chatgpt2025,1,0,0,0,corrected,corrected,corrected
28_gemini,1,0,0,0,corrected,corrected,corrected
283_chatgpt2025,1,0,0,0,corrected,corrected,corrected
287_stackoverflow,0,1,1,0,introduced,introduced,corrected
29_deepseek,1,0,0,0,corrected,corrected,corrected
29_gemini,1,0,0,0,corrected,corrected,corrected
321_chatgpt,1,0,0,0,corrected,corrected,corrected
33_stackoverflow,1,0,1,0,corrected,not_corrected,corrected
342_gemini,1,0,0,0,corrected,corrected,corrected
8_chatgpt,1,0,0,0,corrected,corrected,corrected
8_gemini,2,2,1,0,not_corrected,not_corrected,corrected
94_stackoverflow,1,0,0,0,corrected,corrected,corrected
