query_id,llm_warning,llm_fixed,issue,status
10,ChatGpt,ChatGpt2025,java:S1117,corrected
10,ChatGpt,DeepSeek,java:S1117,corrected
10,ChatGpt,Gemini,java:S1117,corrected
100,ChatGpt,ChatGpt2025,java:S1192,corrected
100,ChatGpt,DeepSeek,java:S1192,corrected
100,ChatGpt,Gemini,java:S1192,corrected
100,DeepSeek,ChatGpt2025,java:S1481,not_corrected
100,DeepSeek,ChatGpt2025,java:S1854,not_corrected
100,DeepSeek,DeepSeek,java:S1481,corrected
100,DeepSeek,DeepSeek,java:S1854,corrected
100,DeepSeek,Gemini,java:S1481,not_corrected
100,DeepSeek,Gemini,java:S1854,not_corrected
101,stackOverflow,ChatGpt2025,java:S2293,corrected
101,stackOverflow,DeepSeek,java:S2293,corrected
101,stackOverflow,Gemini,java:S2293,corrected
103,stackOverflow,ChatGpt2025,java:S1186,not_corrected
103,stackOverflow,DeepSeek,java:S1186,corrected
103,stackOverflow,Gemini,java:S1186,corrected
104,Gemini,ChatGpt2025,java:S1481,corrected
104,Gemini,ChatGpt2025,java:S1854,corrected
104,Gemini,DeepSeek,java:S1481,corrected
104,Gemini,DeepSeek,java:S1854,corrected
104,Gemini,Gemini,java:S1481,corrected
104,Gemini,Gemini,java:S1854,corrected
105,stackOverflow,ChatGpt2025,java:S2293,corrected
105,stackOverflow,DeepSeek,java:S2293,corrected
105,stackOverflow,Gemini,java:S2293,corrected
108,ChatGpt,ChatGpt2025,java:S1481,corrected
108,ChatGpt,ChatGpt2025,java:S1854,corrected
108,ChatGpt,DeepSeek,java:S1481,corrected
108,ChatGpt,DeepSeek,java:S1854,corrected
108,ChatGpt,Gemini,java:S1481,corrected
108,ChatGpt,Gemini,java:S1854,corrected
108,ChatGpt2025,ChatGpt2025,java:S3457,corrected
108,ChatGpt2025,ChatGpt2025,java:S3776,corrected
108,ChatGpt2025,ChatGpt2025,java:S1659,corrected
108,ChatGpt2025,ChatGpt2025,java:S1488,introduced
108,ChatGpt2025,DeepSeek,java:S3457,corrected
108,ChatGpt2025,DeepSeek,java:S3776,corrected
108,ChatGpt2025,DeepSeek,java:S1659,corrected
108,ChatGpt2025,Gemini,java:S3457,corrected
108,ChatGpt2025,Gemini,java:S3776,corrected
108,ChatGpt2025,Gemini,java:S1659,corrected
108,DeepSeek,ChatGpt2025,java:S1068,corrected
108,DeepSeek,ChatGpt2025,java:S1172,introduced
108,DeepSeek,ChatGpt2025,java:S117,introduced
108,DeepSeek,DeepSeek,java:S1068,corrected
108,DeepSeek,DeepSeek,java:S1172,introduced
108,DeepSeek,DeepSeek,java:S117,introduced
108,DeepSeek,Gemini,java:S1068,corrected
109,Gemini,ChatGpt2025,java:S125,not_corrected
109,Gemini,DeepSeek,java:S125,corrected
109,Gemini,Gemini,java:S125,corrected
11,ChatGpt2025,ChatGpt2025,java:S112,corrected
11,ChatGpt2025,DeepSeek,java:S112,corrected
11,ChatGpt2025,Gemini,java:S112,corrected
11,DeepSeek,ChatGpt2025,java:S112,corrected
11,DeepSeek,DeepSeek,java:S112,corrected
11,DeepSeek,Gemini,java:S112,corrected
11,Gemini,ChatGpt2025,java:S112,corrected
11,Gemini,ChatGpt2025,java:S4719,corrected
11,Gemini,DeepSeek,java:S112,corrected
11,Gemini,DeepSeek,java:S4719,corrected
11,Gemini,Gemini,java:S112,corrected
11,Gemini,Gemini,java:S4719,corrected
11,stackOverflow,ChatGpt2025,java:S112,corrected
11,stackOverflow,ChatGpt2025,java:S1124,corrected
11,stackOverflow,ChatGpt2025,java:S1068,corrected
11,stackOverflow,ChatGpt2025,java:S1488,corrected
11,stackOverflow,ChatGpt2025,java:S4719,corrected
11,stackOverflow,ChatGpt2025,java:S1130,introduced
11,stackOverflow,DeepSeek,java:S1488,corrected
11,stackOverflow,DeepSeek,java:S1068,corrected
11,stackOverflow,DeepSeek,java:S112,corrected
11,stackOverflow,DeepSeek,java:S4719,corrected
11,stackOverflow,DeepSeek,java:S1124,corrected
11,stackOverflow,Gemini,java:S1488,corrected
11,stackOverflow,Gemini,java:S1068,corrected
11,stackOverflow,Gemini,java:S112,corrected
11,stackOverflow,Gemini,java:S4719,corrected
11,stackOverflow,Gemini,java:S1124,corrected
110,DeepSeek,ChatGpt2025,java:S1481,corrected
110,DeepSeek,ChatGpt2025,java:S1854,corrected
110,DeepSeek,ChatGpt2025,java:S1186,introduced
110,DeepSeek,DeepSeek,java:S1481,corrected
110,DeepSeek,DeepSeek,java:S1854,corrected
110,DeepSeek,DeepSeek,java:S1186,introduced
110,DeepSeek,Gemini,java:S1481,corrected
110,DeepSeek,Gemini,java:S1854,corrected
110,DeepSeek,Gemini,java:S1186,introduced
111,stackOverflow,ChatGpt2025,java:S1611,corrected
111,stackOverflow,ChatGpt2025,java:S1602,corrected
111,stackOverflow,DeepSeek,java:S1611,corrected
111,stackOverflow,DeepSeek,java:S1602,corrected
111,stackOverflow,Gemini,java:S1611,corrected
111,stackOverflow,Gemini,java:S1602,corrected
112,stackOverflow,ChatGpt2025,java:S2129,corrected
112,stackOverflow,DeepSeek,java:S2129,corrected
112,stackOverflow,Gemini,java:S2129,corrected
113,ChatGpt,ChatGpt2025,java:S1481,not_corrected
113,ChatGpt,ChatGpt2025,java:S1854,not_corrected
113,ChatGpt,DeepSeek,java:S1481,not_corrected
113,ChatGpt,DeepSeek,java:S1854,not_corrected
113,ChatGpt,Gemini,java:S1481,not_corrected
113,ChatGpt,Gemini,java:S1854,not_corrected
113,ChatGpt2025,ChatGpt2025,java:S1481,corrected
113,ChatGpt2025,ChatGpt2025,java:S1854,corrected
113,ChatGpt2025,ChatGpt2025,java:S1186,introduced
113,ChatGpt2025,DeepSeek,java:S1481,corrected
113,ChatGpt2025,DeepSeek,java:S1854,corrected
113,ChatGpt2025,Gemini,java:S1481,corrected
113,ChatGpt2025,Gemini,java:S1854,corrected
113,ChatGpt2025,Gemini,java:S1186,introduced
113,DeepSeek,ChatGpt2025,java:S1481,corrected
113,DeepSeek,ChatGpt2025,java:S1854,corrected
113,DeepSeek,ChatGpt2025,java:S1186,introduced
113,DeepSeek,DeepSeek,java:S1481,corrected
113,DeepSeek,DeepSeek,java:S1854,corrected
113,DeepSeek,Gemini,java:S1481,corrected
113,DeepSeek,Gemini,java:S1854,corrected
113,Gemini,ChatGpt2025,java:S1481,corrected
113,Gemini,ChatGpt2025,java:S1854,corrected
113,Gemini,ChatGpt2025,java:S1186,introduced
113,Gemini,DeepSeek,java:S1481,corrected
113,Gemini,DeepSeek,java:S1854,corrected
113,Gemini,DeepSeek,java:S1186,introduced
113,Gemini,Gemini,java:S1481,corrected
113,Gemini,Gemini,java:S1854,corrected
113,stackOverflow,ChatGpt2025,java:S1481,corrected
113,stackOverflow,ChatGpt2025,java:S1854,corrected
113,stackOverflow,ChatGpt2025,java:S1186,introduced
113,stackOverflow,DeepSeek,java:S1481,corrected
113,stackOverflow,DeepSeek,java:S1854,corrected
113,stackOverflow,DeepSeek,java:S1186,introduced
113,stackOverflow,Gemini,java:S1481,corrected
113,stackOverflow,Gemini,java:S1854,corrected
113,stackOverflow,Gemini,java:S1186,introduced
114,ChatGpt,ChatGpt2025,java:S1488,corrected
114,ChatGpt,ChatGpt2025,java:S1481,corrected
114,ChatGpt,ChatGpt2025,java:S1854,corrected
114,ChatGpt,DeepSeek,java:S1488,corrected
