issue,ChatGpt2025_corrected,DeepSeek_corrected,Gemini_corrected,ChatGpt2025_not_corrected,DeepSeek_not_corrected,Gemini_not_corrected,ChatGpt2025_introduced,DeepSeek_introduced,Gemini_introduced
java:S1854,180,195,182,63,48,61,8,5,3
java:S1481,177,193,178,61,45,60,10,8,6
java:S125,54,60,59,6,0,1,8,1,12
java:S2293,45,46,46,1,0,0,2,1,0
java:S1192,37,39,39,2,0,0,1,0,0
java:S1186,8,9,9,1,0,0,32,22,35
java:S117,29,29,29,0,0,0,5,3,0
java:S112,29,26,28,0,3,1,2,1,1
java:S1068,26,25,27,1,2,0,1,2,2
java:S3252,25,25,25,0,0,0,0,0,0
java:S1604,23,24,24,1,0,0,1,1,0
java:S116,21,23,23,3,1,1,0,0,0
java:S1659,21,22,22,1,0,0,0,0,0
java:S1161,19,20,20,1,0,0,0,0,0
java:S3740,20,20,20,0,0,0,0,0,0
java:S1602,18,18,18,0,0,0,1,0,0
java:S2094,6,5,8,3,4,1,13,7,8
java:S3012,12,14,14,2,0,0,0,0,0
java:S1197,12,13,13,1,0,0,0,0,0
java:S1612,8,8,8,0,0,0,3,3,1
java:S1172,7,7,7,0,0,0,5,3,0
java:S108,4,7,9,5,2,0,0,0,0
java:S1450,7,7,7,0,0,0,1,2,1
java:S1488,8,8,8,0,0,0,1,0,0
java:S3776,6,6,7,2,2,1,0,0,0
java:S4719,8,8,8,0,0,0,0,0,0
java:S1144,8,8,8,0,0,0,0,0,0
java:S1444,7,7,6,0,0,1,1,0,0
java:S4925,7,7,6,0,0,1,0,0,0
java:S1130,5,4,5,0,1,0,1,1,2
java:S6213,1,3,6,5,3,0,1,0,0
java:S6353,6,6,6,0,0,0,0,0,0
java:S2234,0,0,4,6,6,2,0,0,0
java:S2129,6,6,6,0,0,0,0,0,0
java:S1066,5,5,4,0,0,1,1,1,0
java:S2093,5,5,5,0,0,0,0,0,0
java:S3457,5,5,5,0,0,0,0,0,0
java:S115,1,1,1,0,0,0,3,5,2
java:S1905,3,4,4,1,0,0,0,0,0
java:S2140,3,4,4,1,0,0,0,0,0
java:S135,3,3,4,1,1,0,0,0,0
java:S2147,3,3,3,0,0,0,2,0,0
java:S1141,3,3,3,0,0,0,0,0,0
java:S101,3,3,3,0,0,0,0,0,0
java:S100,3,3,3,0,0,0,0,0,0
java:S1116,3,3,3,0,0,0,0,0,0
java:S1124,3,3,3,0,0,0,0,0,0
java:S2326,2,2,3,1,1,0,0,0,0
java:S7158,3,3,3,0,0,0,0,0,0
java:S1126,3,2,3,0,1,0,0,0,0
java:S1301,2,3,3,1,0,0,0,0,0
java:S1871,2,2,2,0,0,0,1,0,1
java:S1125,2,2,2,0,0,0,0,0,0
java:S127,1,1,2,1,1,0,0,0,0
java:S2387,2,2,2,0,0,0,0,0,0
java:S128,2,2,2,0,0,0,0,0,0
java:S2440,1,1,1,1,1,1,0,0,0
java:S3008,2,2,2,0,0,0,0,0,0
java:S1700,1,1,1,1,1,1,0,0,0
java:S1611,2,2,2,0,0,0,0,0,0
java:S131,1,2,2,1,0,0,0,0,0
java:S3626,1,1,1,0,0,0,1,0,0
java:S1117,1,1,1,0,0,0,0,0,0
java:S1858,1,1,1,0,0,0,0,0,0
java:S1479,0,0,1,1,1,0,0,0,0
java:S1171,1,1,1,0,0,0,0,0,0
java:S1165,1,1,1,0,0,0,0,0,0
java:S3358,1,1,1,0,0,0,0,0,0
java:S3010,1,0,1,0,1,0,0,0,0
java:S2130,1,1,1,0,0,0,0,0,0
java:S2209,1,1,1,0,0,0,0,0,0
java:S5843,1,0,0,0,1,1,0,0,0
java:S4977,1,1,1,0,0,0,0,0,0
java:S3973,1,1,1,0,0,0,0,0,0
java:S6035,1,1,1,0,0,0,0,0,0
java:S6541,0,1,1,1,0,0,0,0,0
java:S6397,1,1,1,0,0,0,0,0,0
java:S3985,0,0,0,0,0,0,0,1,0
java:S6395,0,0,0,0,0,0,0,0,1
