snippet_id,Gemini,chatgpt2025,deepseek
2,,,
3,"java:S1481,java:S1854","java:S125,java:S1481,java:S1854",
4,,java:S108,
5,java:S1186,java:S1186,java:S1186
6,,,
8,java:S1130,"java:S135,java:S3626,java:S3776","java:S1130,java:S135"
9,java:S1854,java:S1172,
10,,,
11,,java:S1130,
12,,,
13,,,
15,"java:S1481,java:S1854",,
16,,,
18,,,
19,,,
20,"java:S1481,java:S1854",,
23,,"java:S1481,java:S1854",
25,,,
26,,,
27,,,"java:S1481,java:S1854"
28,,,
29,,java:S1612,java:S1612
30,,,
32,,,
33,,java:S3012,java:S3776
34,,,
35,,,
36,,,
38,,java:S1068,"java:S2094,java:S2326"
39,,,
41,java:S2094,java:S2094,java:S2094
43,,,
45,,"java:S1481,java:S1854",
46,java:S1186,,
47,,,
48,,"java:S1481,java:S1604,java:S1854",java:S1604
50,,java:S2094,java:S2094
51,,,
52,,,
53,,,
55,java:S1066,,
56,"java:S1481,java:S1854","java:S1481,java:S1854",
57,,java:S2293,java:S2293
58,,,
59,,,
60,,,
61,,,
63,,,
64,,,
65,,,"java:S1481,java:S1854"
66,,,
67,,,
68,,,
69,,,
70,,"java:S1481,java:S1854","java:S1481,java:S1854"
71,java:S1186,"java:S1481,java:S1854",
72,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
74,,,
75,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
76,,,
80,,,
81,,"java:S1481,java:S1854","java:S1481,java:S1854"
83,,,
84,,,
85,,,
87,,,
88,"java:S1444,java:S2234","java:S108,java:S2234","java:S115,java:S2234"
90,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
91,"java:S1481,java:S1854",,
92,,,
93,,,
94,,,
95,,,
96,"java:S1481,java:S1854",,
97,,,
100,"java:S1481,java:S1854","java:S1481,java:S1854",
101,,,
103,,java:S1186,
104,,,
105,,,
108,,java:S1172,java:S1172
109,,java:S125,
110,java:S1186,java:S1186,java:S1186
111,,,
112,,,
113,java:S1186,java:S1186,java:S1186
114,"java:S1481,java:S1854","java:S1481,java:S1854",
115,,java:S6213,
118,,,
119,,,
120,,,
121,,,
122,"java:S1481,java:S1854",,
123,,,
124,,,
125,,,
126,,java:S125,
128,,"java:S125,java:S6213","java:S1481,java:S1854"
129,,,
131,java:S125,java:S1186,
133,"java:S1068,java:S1450,java:S1700,java:S1871,java:S3776","java:S108,java:S116,java:S1192,java:S1197,java:S125,java:S127,java:S1301,java:S131,java:S1479,java:S1604,java:S1659,java:S1700,java:S1854,java:S2140,java:S2293,java:S3776,java:S6541","java:S1068,java:S127,java:S1450,java:S1479,java:S1700,java:S1854,java:S3776"
135,,,
136,,,
137,,,
138,,,
139,java:S2094,java:S2094,java:S2094
141,,,
142,,,
143,,,
144,,,
146,"java:S1481,java:S1854","java:S1481,java:S1854",
147,,,
148,java:S1186,java:S1186,java:S1186
149,,,java:S3010
150,,,
151,,,
153,,,
154,,,
157,,,
158,,,
159,java:S1481,java:S1481,
160,java:S1854,,
162,,,
163,java:S1186,java:S1186,
164,,java:S1602,
167,,,
168,java:S1186,java:S1186,
169,java:S125,java:S125,
170,,,
171,,"java:S1481,java:S1854",
172,,,
173,,,
174,,,
175,,,
176,,,
178,,,
179,,"java:S1481,java:S1854",
180,,,
181,,,
182,java:S1481,,
183,,,"java:S1481,java:S1854"
185,,,
186,,"java:S1192,java:S1871",
188,java:S1186,"java:S1481,java:S1854","java:S1481,java:S1854"
190,java:S1186,java:S1186,java:S1186
191,java:S1186,java:S1186,java:S1186
192,,,
194,,"java:S1481,java:S1854","java:S1481,java:S1854"
195,,,
196,,,
197,,"java:S1481,java:S1854",java:S1481
198,,,
199,,,
201,,,
202,,,java:S115
203,,,
204,,,
205,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
206,,,
207,java:S125,java:S125,
208,,,
210,,,
212,,,
215,,,
217,"java:S1481,java:S1854",,
218,,,
219,,,
220,,,
221,,,
222,,,
224,,,
225,,java:S125,
226,,,
227,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
228,,,
229,,,
231,,,
232,,,
233,,,
236,,,java:S1130
238,,,
240,"java:S1481,java:S1854",java:S108,java:S108
241,,,
242,,"java:S1481,java:S1854",
243,,,
245,,,
247,,,
248,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
249,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
250,,,
251,,,
252,,,
253,,,
254,,,
256,,,
257,,,
258,,,
259,,,
260,,java:S1481,"java:S1481,java:S1854"
261,,,
262,java:S2094,java:S2094,
263,,,
264,java:S2094,java:S2094,
265,,,
266,,,
267,,"java:S1481,java:S2293",
268,"java:S1481,java:S1854",java:S108,java:S108
269,,"java:S1481,java:S1854",
271,,"java:S1481,java:S1854",
272,,,
273,,,
274,,,
276,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
277,,,java:S1068
278,"java:S1481,java:S1854",,
279,,,
281,,,
283,,"java:S1481,java:S1854","java:S1481,java:S1854"
284,,,
285,,,
286,,,
287,,"java:S1068,java:S1172,java:S1450","java:S1068,java:S1450"
288,java:S2094,java:S2094,java:S2094
290,,,
291,,,
293,,,
294,,,
295,,,
297,,,
298,,,
299,java:S1481,java:S1854,"java:S1481,java:S1854"
300,,,
302,,,
303,,,
304,,java:S1854,
306,java:S2094,java:S2094,
307,"java:S1481,java:S1854",,
308,"java:S1481,java:S1854",,
309,java:S125,,
311,,,
312,,,
313,"java:S1481,java:S1854,java:S4925",,
314,,,
316,,,
318,,"java:S1481,java:S1854",
319,,,
320,java:S1186,,
321,,"java:S1481,java:S1854",
324,,,
325,,,
326,,,
327,,,
328,,,
329,java:S1612,java:S1612,java:S1612
330,,,
331,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,java:S2234,java:S2234
340,"java:S1481,java:S1854",,"java:S1481,java:S1854"
341,,,
342,java:S112,,java:S112
343,"java:S1481,java:S1854","java:S1481,java:S1854","java:S1481,java:S1854"
344,,,
346,,,
347,,,
349,,java:S1161,
350,java:S1186,java:S1186,java:S1186
351,,java:S1481,
352,,java:S125,
353,,,
354,,,
356,,,
357,,,
