query_id,llm_fixed,status
10,ChatGpt2025,corrected
10,DeepSeek,corrected
10,Gemini,corrected
100,ChatGpt2025,corrected
100,DeepSeek,corrected
100,Gemini,corrected
100,ChatGpt2025,not_corrected
100,DeepSeek,corrected
100,Gemini,not_corrected
101,ChatGpt2025,corrected
101,DeepSeek,corrected
101,Gemini,corrected
103,ChatGpt2025,not_corrected
103,DeepSeek,corrected
103,Gemini,corrected
104,ChatGpt2025,corrected
104,DeepSeek,corrected
104,Gemini,corrected
105,ChatGpt2025,corrected
105,DeepSeek,corrected
105,Gemini,corrected
108,ChatGpt2025,corrected
108,DeepSeek,corrected
108,Gemini,corrected
108,ChatGpt2025,introduced
108,DeepSeek,corrected
108,Gemini,corrected
108,ChatGpt2025,introduced
108,DeepSeek,introduced
108,Gemini,corrected
109,ChatGpt2025,not_corrected
109,DeepSeek,corrected
109,Gemini,corrected
11,ChatGpt2025,corrected
11,DeepSeek,corrected
11,Gemini,corrected
11,ChatGpt2025,corrected
11,DeepSeek,corrected
11,Gemini,corrected
11,ChatGpt2025,corrected
11,DeepSeek,corrected
11,Gemini,corrected
11,ChatGpt2025,introduced
11,DeepSeek,corrected
11,Gemini,corrected
110,ChatGpt2025,introduced
110,DeepSeek,introduced
110,Gemini,introduced
111,ChatGpt2025,corrected
111,DeepSeek,corrected
111,Gemini,corrected
112,ChatGpt2025,corrected
112,DeepSeek,corrected
112,Gemini,corrected
113,ChatGpt2025,not_corrected
113,DeepSeek,not_corrected
113,Gemini,not_corrected
113,ChatGpt2025,introduced
113,DeepSeek,corrected
113,Gemini,introduced
113,ChatGpt2025,introduced
113,DeepSeek,corrected
113,Gemini,corrected
113,ChatGpt2025,introduced
113,DeepSeek,introduced
113,Gemini,corrected
113,ChatGpt2025,introduced
113,DeepSeek,introduced
113,Gemini,introduced
114,ChatGpt2025,corrected
114,DeepSeek,corrected
114,Gemini,corrected
114,ChatGpt2025,not_corrected
114,DeepSeek,corrected
114,Gemini,not_corrected
115,ChatGpt2025,corrected
115,DeepSeek,corrected
115,Gemini,corrected
115,ChatGpt2025,not_corrected
115,DeepSeek,corrected
115,Gemini,corrected
118,ChatGpt2025,not_corrected
118,DeepSeek,corrected
118,Gemini,corrected
118,ChatGpt2025,corrected
118,DeepSeek,corrected
118,Gemini,corrected
119,ChatGpt2025,corrected
119,DeepSeek,corrected
119,Gemini,corrected
12,ChatGpt2025,corrected
12,DeepSeek,corrected
12,Gemini,corrected
12,ChatGpt2025,corrected
12,DeepSeek,not_corrected
12,Gemini,corrected
12,ChatGpt2025,corrected
12,DeepSeek,corrected
12,Gemini,corrected
12,ChatGpt2025,corrected
12,DeepSeek,corrected
12,Gemini,corrected
120,ChatGpt2025,corrected
120,DeepSeek,corrected
120,Gemini,corrected
120,ChatGpt2025,corrected
120,DeepSeek,corrected
120,Gemini,corrected
121,ChatGpt2025,corrected
121,DeepSeek,corrected
121,Gemini,corrected
122,ChatGpt2025,corrected
122,DeepSeek,corrected
122,Gemini,not_corrected
123,ChatGpt2025,not_corrected
123,DeepSeek,not_corrected
123,Gemini,not_corrected
123,ChatGpt2025,corrected
123,DeepSeek,corrected
123,Gemini,corrected
124,ChatGpt2025,corrected
124,DeepSeek,corrected
124,Gemini,corrected
124,ChatGpt2025,corrected
124,DeepSeek,corrected
124,Gemini,corrected
125,ChatGpt2025,corrected
125,DeepSeek,corrected
125,Gemini,corrected
126,ChatGpt2025,corrected
126,DeepSeek,corrected
126,Gemini,corrected
126,ChatGpt2025,introduced
126,DeepSeek,corrected
126,Gemini,corrected
128,ChatGpt2025,introduced
128,DeepSeek,not_corrected
128,Gemini,corrected
129,ChatGpt2025,corrected
129,DeepSeek,corrected
129,Gemini,corrected
129,ChatGpt2025,corrected
129,DeepSeek,corrected
129,Gemini,corrected
129,ChatGpt2025,corrected
129,DeepSeek,corrected
129,Gemini,corrected
129,ChatGpt2025,corrected
129,DeepSeek,corrected
129,Gemini,corrected
129,ChatGpt2025,corrected
129,DeepSeek,corrected
129,Gemini,corrected
13,ChatGpt2025,corrected
13,DeepSeek,corrected
13,Gemini,corrected
13,ChatGpt2025,corrected
13,DeepSeek,corrected
13,Gemini,corrected
13,ChatGpt2025,corrected
13,DeepSeek,corrected
13,Gemini,corrected
13,ChatGpt2025,corrected
13,DeepSeek,corrected
13,Gemini,corrected
13,ChatGpt2025,corrected
13,DeepSeek,corrected
13,Gemini,corrected
131,ChatGpt2025,not_corrected
131,DeepSeek,corrected
131,Gemini,introduced
131,ChatGpt2025,not_corrected
131,DeepSeek,corrected
131,Gemini,introduced
131,ChatGpt2025,introduced
131,DeepSeek,corrected
131,Gemini,introduced
133,ChatGpt2025,corrected
133,DeepSeek,corrected
133,Gemini,corrected
133,ChatGpt2025,corrected
133,DeepSeek,corrected
133,Gemini,corrected
133,ChatGpt2025,not_corrected
133,DeepSeek,introduced
133,Gemini,introduced
135,ChatGpt2025,corrected
135,DeepSeek,corrected
135,Gemini,corrected
136,ChatGpt2025,corrected
136,DeepSeek,corrected
136,Gemini,corrected
137,ChatGpt2025,corrected
137,DeepSeek,corrected
137,Gemini,corrected
137,ChatGpt2025,corrected
137,DeepSeek,corrected
137,Gemini,corrected
138,ChatGpt2025,corrected
138,DeepSeek,corrected
138,Gemini,corrected
138,ChatGpt2025,corrected
138,DeepSeek,corrected
138,Gemini,corrected
139,ChatGpt2025,corrected
139,DeepSeek,corrected
139,Gemini,corrected
139,ChatGpt2025,corrected
139,DeepSeek,corrected
139,Gemini,corrected
139,ChatGpt2025,introduced
139,DeepSeek,introduced
139,Gemini,introduced
141,ChatGpt2025,corrected
141,DeepSeek,corrected
141,Gemini,corrected
141,ChatGpt2025,corrected
141,DeepSeek,corrected
141,Gemini,corrected
142,ChatGpt2025,corrected
142,DeepSeek,corrected
142,Gemini,corrected
143,ChatGpt2025,corrected
143,DeepSeek,corrected
143,Gemini,corrected
144,ChatGpt2025,corrected
144,DeepSeek,corrected
144,Gemini,corrected
144,ChatGpt2025,corrected
144,DeepSeek,corrected
144,Gemini,corrected
146,ChatGpt2025,corrected
146,DeepSeek,corrected
146,Gemini,corrected
146,ChatGpt2025,corrected
146,DeepSeek,corrected
146,Gemini,corrected
146,ChatGpt2025,corrected
146,DeepSeek,corrected
146,Gemini,corrected
146,ChatGpt2025,not_corrected
146,DeepSeek,corrected
146,Gemini,not_corrected
147,ChatGpt2025,corrected
147,DeepSeek,corrected
147,Gemini,not_corrected
147,ChatGpt2025,corrected
147,DeepSeek,corrected
147,Gemini,corrected
148,ChatGpt2025,corrected
148,DeepSeek,not_corrected
148,Gemini,corrected
148,ChatGpt2025,introduced
148,DeepSeek,introduced
148,Gemini,introduced
148,ChatGpt2025,introduced
148,DeepSeek,introduced
148,Gemini,introduced
148,ChatGpt2025,introduced
148,DeepSeek,introduced
148,Gemini,introduced
149,ChatGpt2025,corrected
149,DeepSeek,corrected
149,Gemini,corrected
149,ChatGpt2025,corrected
149,DeepSeek,corrected
149,Gemini,corrected
149,ChatGpt2025,corrected
149,DeepSeek,not_corrected
149,Gemini,corrected
15,ChatGpt2025,corrected
15,DeepSeek,corrected
15,Gemini,corrected
15,ChatGpt2025,corrected
15,DeepSeek,corrected
15,Gemini,not_corrected
150,ChatGpt2025,corrected
150,DeepSeek,corrected
150,Gemini,corrected
150,ChatGpt2025,corrected
150,DeepSeek,corrected
150,Gemini,corrected
150,ChatGpt2025,corrected
150,DeepSeek,corrected
150,Gemini,corrected
151,ChatGpt2025,corrected
151,DeepSeek,corrected
151,Gemini,not_corrected
