rule_key,stackOverflow,Gemini,ChatGpt,ChatGpt2025,DeepSeek
java:S106,0,868,0,875,866
java:S1220,0,611,0,611,611
java:S1854,0,81,0,84,63
java:S1481,0,81,0,84,61
java:S1186,0,35,0,33,23
java:S1118,0,18,0,19,20
java:S2201,0,6,0,11,34
java:S2094,0,11,0,19,12
java:S1104,0,13,0,13,15
java:S2142,0,10,0,15,14
java:S125,0,16,0,18,3
java:S1075,0,12,0,12,12
java:S5542,0,10,0,10,10
java:S1135,0,11,0,9,7
java:S1068,0,10,0,3,13
java:S1874,0,10,0,7,8
java:S2234,0,4,0,10,11
java:S1450,0,10,0,2,12
java:S3011,0,4,0,8,8
java:S1149,0,7,0,5,7
java:S6437,0,6,0,6,6
java:S116,0,0,0,17,0
java:S1210,0,5,0,5,5
java:S5738,0,5,0,5,5
java:S115,0,3,0,4,6
java:S1948,0,4,0,4,3
java:S108,0,0,0,8,2
java:S2184,0,3,0,3,3
java:S4042,0,3,0,3,3
java:S6213,0,0,0,6,3
java:S2133,0,3,0,3,3
java:S2440,0,3,0,3,3
java:S3776,0,1,0,4,3
java:S899,0,2,0,3,3
java:S1172,0,0,0,5,3
java:S1612,0,1,0,3,3
java:S1130,0,2,0,3,2
java:S4830,0,2,0,2,2
java:S5361,0,2,0,2,2
java:S6548,0,2,0,2,2
java:S6905,0,2,0,2,2
java:S2293,0,0,0,4,1
java:S112,0,2,0,0,2
java:S127,0,0,0,2,2
java:S1643,0,1,0,1,2
java:S1659,0,0,0,4,0
java:S2326,0,0,0,1,3
java:S2140,0,0,0,4,0
java:S5993,0,1,0,1,1
java:S3077,0,1,0,1,1
java:S4423,0,1,0,1,1
java:S4143,0,1,0,1,1
java:S1192,0,0,0,3,0
java:S1700,0,1,0,1,1
java:S1604,0,0,0,2,1
java:S2272,0,1,0,1,1
java:S1066,0,1,0,1,1
java:S3923,0,1,0,1,1
java:S1479,0,0,0,2,1
java:S131,0,0,0,3,0
java:S1128,0,0,0,2,1
java:S1640,0,1,0,1,1
java:S2674,0,1,0,1,1
java:S1656,0,1,0,1,1
java:S5527,0,1,0,1,1
java:S5856,0,1,0,1,1
java:S1201,0,1,0,1,1
java:S1181,0,1,0,1,1
java:S2115,0,1,0,1,1
java:S2677,0,2,0,0,1
java:S1168,0,1,0,1,1
java:S1161,0,0,0,2,0
java:S3012,0,0,0,2,0
java:S2696,0,1,0,0,1
java:S2119,0,1,0,0,1
java:S1444,0,1,0,1,0
java:S1871,0,1,0,1,0
java:S135,0,0,0,1,1
java:S5843,0,1,0,0,1
java:S2147,0,0,0,2,0
java:S1488,0,0,0,1,0
java:S1126,0,0,0,0,1
java:S1197,0,0,0,1,0
java:S1301,0,0,0,1,0
java:S6541,0,0,0,1,0
java:S3010,0,0,0,0,1
java:S1602,0,0,0,1,0
java:S6395,0,1,0,0,0
java:S5842,0,0,0,0,1
java:S4925,0,1,0,0,0
java:S3985,0,0,0,0,1
java:S1905,0,0,0,1,0
java:S2386,0,1,0,0,0
java:S3626,0,0,0,1,0
